rest_name,locality,cost_for_two,rating,cuisines
The Coffee Bean & Tea Leaf                                     ,"1 MG Road Mall, MG Road",700,3.8,['Cafe']
Chickpet Donne Biryani House,Marathahalli,600,3.8,"['Biryani', 'South Indian', 'Fast Food']"
Sri Banashankari Donne Biriyani                                     ,Banaswadi,150,3.8,['Biryani']
Dum Biryani Hub                                     ,BTM,700,3.8,['Biryani']
Swadheshi Dining                                     ,Nagarbhavi,700,3.8,"['North Indian', 'Chinese', 'Fast Food']"
Recipe Box,Electronic City,400,3.8,"['Chinese', 'Beverages']"
Ram Bhog                                     ,Marathahalli,200,3.8,"['Chinese', 'North Indian']"
Just Homely,Electronic City,300,3.8,['North Indian']
Donne Biriyani Mane                                     ,Banaswadi,300,3.8,['Biryani']
Smacznego                                     ,Vijay Nagar,650,3.8,"['Cafe', 'Mexican', 'Italian', 'Momos']"
Raichur Biryani House                                     ,HSR,400,3.8,"['Biryani', 'North Indian', 'Chinese']"
Manjushree Upahara                                     ,Bannerghatta Road,150,3.8,['South Indian']
Slurpy Shakes                                     ,Whitefield,300,3.7,['Beverages']
Sree Gajanana Fruit Juice Centre                                     ,Brookefield,150,3.7,"['Beverages', 'Juices']"
Cake Mile- The Pastry Stop                                     ,Yelahanka,300,3.7,"['Desserts', 'Bakery']"
Hotel SLV Grand                                     ,Nagarbhavi,350,3.7,"['South Indian', 'North Indian', 'Chinese']"
Biriyani Section,Whitefield,300,3.7,"['Biryani', 'North Indian']"
Taj Hotel                                     ,Shivajinagar,700,3.7,"['Mughlai', 'Chinese']"
Rêveur Chocolates                                     ,Koramangala 4th Block,400,3.7,['Desserts']
Sea Salt                                     ,Sahakara Nagar,600,3.7,"['South Indian', 'Seafood']"
G8 Punjabi Tadka                                     ,New BEL Road,200,3.7,['North Indian']
The Q Restaurant                                     ,Nagawara,550,3.7,"['North Indian', 'Chinese', 'Kerala']"
The Magic Chef                                     ,Electronic City,300,3.7,"['North Indian', 'Chinese']"
Royal View Restaurant                                     ,BTM,700,3.7,"['North Indian', 'Chinese', 'Arabian']"
Mel's Korner                                     ,Church Street,500,3.7,['Fast Food']
Degchi Restaurant                                     ,Banaswadi,600,3.7,['North Indian']
Paratha Singh Pakora King                                     ,"Eat Street, Koramangala 6th Block",300,3.7,"['Rajasthani', 'North Indian', 'Street Food']"
Subhash Mess                                     ,New BEL Road,200,3.7,['North Indian']
Sri Devi Cafe                                     ,Frazer Town,200,3.7,"['South Indian', 'Chinese', 'North Indian']"
Coffee Mug Cafe                                     ,Marathahalli,400,3.7,"['Cafe', 'Chinese', 'North Indian', 'Fast Food']"
C Sharp Cafe                                     ,Old Madras Road,300,3.7,"['Fast Food', 'Chinese']"
Abbabi Chicken                                     ,Bellandur,200,3.7,['Fast Food']
China Tang                                     ,BTM,600,3.7,['Chinese']
Amigos Kitchen                                     ,Banaswadi,400,3.7,"['Chinese', 'North Indian', 'Mexican', 'Fast Food']"
The Brewing Bean                                     ,Bellandur,500,3.7,['Cafe']
Anil Paratha Center                                     ,Yelahanka,200,3.7,"['North Indian', 'Chinese']"
Tease Whitefield                                     ,Vivanta Whitefield,"1,800",3.7,['Finger Food']
Hungry Queen,HSR,300,3.7,"['North Indian', 'Chinese', 'Fast Food']"
Breeze                                     ,"RG Royal Hotels, Yeshwantpur","1,500",3.7,"['Seafood', 'North Indian', 'Mangalorean']"
Antilla Aromas                                     ,Bannerghatta Road,300,3.7,"['Desserts', 'Ice Cream']"
Filmy Kitchen                                     ,Bellandur,400,3.7,"['North Indian', 'South Indian', 'Italian', 'Chinese', 'Fast Food']"
Sweet Chills                                     ,Vijay Nagar,200,3.7,"['Desserts', 'Ice Cream', 'Beverages']"
Coffee Tindi                                     ,Banashankari,200,3.7,"['Cafe', 'South Indian']"
Village Restaurant,Marathahalli,"1,000",3.7,"['Arabian', 'Chinese', 'Kerala', 'North Indian', 'Biryani']"
Bangarpet Pani Poori                                     ,Banaswadi,100,3.7,['Street Food']
Swad                                     ,Electronic City,500,3.7,"['North Indian', 'Chinese']"
Coffee Tindi                                     ,Banashankari,200,3.7,"['Cafe', 'South Indian']"
Tease Whitefield                                     ,Vivanta Whitefield,"1,800",3.7,['Finger Food']
Hyderabadi Dum Biryani                                     ,Whitefield,300,3.7,['Biryani']
The Rasoi                                     ,Seshadripuram,650,3.7,"['North Indian', 'Chinese', 'Hyderabadi']"
Dhang Ka Khana                                     ,Ejipura,200,3.7,['North Indian']
Dilli in a Box                                     ,Koramangala 7th Block,400,3.7,"['Fast Food', 'North Indian']"
The Bakery World                                     ,Basavanagudi,250,3.7,"['Bakery', 'Desserts']"
Kulfi House                                     ,Electronic City,200,3.7,['Ice Cream']
New Leaf Restaurant                                     ,Indiranagar,"1,200",3.7,['Chinese']
Iyengar Bakery                                     ,Jayanagar,200,3.7,"['Bakery', 'Fast Food']"
Desi Vibes                                     ,BTM,600,3.7,"['North Indian', 'Chinese']"
Oregano Pizzeria                                     ,Koramangala 4th Block,450,3.7,"['Cafe', 'Italian', 'Pizza']"
Ganesh Restaurant                                     ,Koramangala 5th Block,300,3.7,"['Chinese', 'Street Food']"
Desi Dawat                                     ,Kumaraswamy Layout,450,3.7,"['North Indian', 'Chinese']"
New Udupi Grand                                     ,HSR,250,3.7,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
Abhiruchi Restaurant,Whitefield,550,3.7,"['Biryani', 'Andhra', 'North Indian', 'Chinese']"
Ganesh Restaurant                                     ,Koramangala 5th Block,300,3.7,"['Chinese', 'Street Food']"
Skytouch Le Cafe                                     ,JP Nagar,700,3.7,"['Cafe', 'Italian', 'Desserts']"
Dragon Chilly                                     ,Rajarajeshwari Nagar,500,3.7,"['Chinese', 'North Indian']"
Nandhini                                     ,Banaswadi,600,3.7,"['Andhra', 'Chinese', 'North Indian']"
Mumbai Spice                                     ,Malleshwaram,400,3.7,"['North Indian', 'Chinese']"
Chaitra Restaurant                                     ,Kalyan Nagar,700,3.7,"['North Indian', 'Chinese']"
Karavali Kolimane                                     ,Wilson Garden,350,3.7,"['Mangalorean', 'Chinese', 'North Indian']"
Mangalore Lunch Home                                     ,RT Nagar,200,3.7,"['North Indian', 'Mughlai', 'Chinese', 'Seafood', 'South Indian']"
The Trundle                                     ,Jayanagar,700,3.7,"['Chinese', 'Thai', 'Continental', 'North Indian']"
Chaat Junction                                     ,Bannerghatta Road,200,3.7,['Street Food']
Nizaam's Kaati Rolls & Kebabs                                     ,Jeevan Bhima Nagar,450,3.7,"['Street Food', 'North Indian', 'Rolls']"
Foodies Express                                     ,Electronic City,400,3.7,"['Chinese', 'North Indian', 'Arabian', 'Biryani']"
S S Popular Frozen Stone                                     ,Bellandur,250,3.7,"['Beverages', 'Ice Cream', 'Sandwich', 'Fast Food']"
Kadalu Sea Food Restaurant                                     ,Vijay Nagar,500,3.7,"['Seafood', 'North Indian', 'Chinese', 'Andhra', 'Biryani', 'Kebab']"
Cafe Repeat                                     ,Sarjapur Road,250,3.7,"['North Indian', 'Fast Food']"
Red Lantern                                     ,Cunningham Road,700,3.7,"['Chinese', 'Thai']"
Srinivasa Mess                                     ,Wilson Garden,300,3.7,"['Andhra', 'Chinese']"
Verve Coffee Lounge - Howard Johnson Bengaluru                                     ,Howard Johnson Bengaluru Hebbal,400,3.7,['Cafe']
Biriyani Katte                                     ,Magadi Road,400,3.7,['Biryani']
Flavour of China                                     ,BTM,600,3.7,['Chinese']
Chatar Patar                                     ,Banashankari,300,3.7,"['Fast Food', 'Street Food']"
Fashion Knack Cafe                                     ,Whitefield,250,3.7,"['Cafe', 'Burger', 'Sandwich']"
BTM Ghar ka Khana                                     ,BTM,200,3.7,['North Indian']
Haveli                                     ,Marathahalli,700,3.7,"['Biryani', 'North Indian', 'Mughlai']"
Smoodies                                     ,Old Airport Road,300,3.7,['Juices']
Happy Plate                                     ,Koramangala 6th Block,400,3.7,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']"
Andhra Express                                     ,CV Raman Nagar,300,3.7,"['Andhra', 'Biryani', 'North Indian', 'Beverages']"
The Bigman's Cafe                                     ,HSR,450,3.7,"['North Indian', 'Chinese']"
Shri Vinayaka Ice N Juice                                     ,Jayanagar,200,3.7,"['Fast Food', 'Beverages']"
All Shook Up                                     ,Marathahalli,300,3.7,"['Desserts', 'Beverages']"
Granos De Cafe                                     ,BTM,500,3.7,"['Cafe', 'Beverages']"
Ganesh Darshini                                     ,Malleshwaram,150,3.7,"['South Indian', 'Fast Food']"
Midowl                                     ,KR Puram,300,3.7,['North Indian']
The Cheesecake Corner                                     ,BTM,400,3.7,['Desserts']
Praja Thindi                                     ,Majestic,200,3.7,['South Indian']
Delhiciouss                                     ,Whitefield,300,3.7,"['North Indian', 'Sandwich']"
Pita Pit,Bellandur,600,3.7,"['Healthy Food', 'Salad']"
Poorvika Restro Cafe                                     ,HSR,700,3.7,"['Chinese', 'North Indian']"
Bon Baker                                     ,Whitefield,"1,000",3.7,['Desserts']
Hotel Sakti Saravana                                     ,Electronic City,350,3.7,"['Tamil', 'South Indian']"
Foodmazic                                     ,Kaggadasapura,200,3.7,"['BBQ', 'Beverages', 'Burger', 'Rolls', 'Tea']"
Happy Plate                                     ,Koramangala 6th Block,400,3.7,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']"
The Duke Of Juices                                     ,Whitefield,200,3.7,['Beverages']
Dum & Oven                                     ,HSR,600,3.7,"['North Indian', 'Hyderabadi', 'Continental']"
Bake-ooh                                     ,Bannerghatta Road,350,3.7,['Bakery']
Bhaiyajees                                     ,Richmond Road,300,3.7,"['North Indian', 'South Indian']"
2 Statez                                     ,Kalyan Nagar,600,3.7,"['Kerala', 'Seafood', 'South Indian', 'North Indian', 'Chinese']"
Taishty                                     ,Whitefield,200,3.7,['North Indian']
Melting Pot at Woodrose                                     ,JP Nagar,800,3.7,['North Indian']
Taishty                                     ,Whitefield,200,3.7,['North Indian']
Melting Pot at Woodrose                                     ,JP Nagar,800,3.7,['North Indian']
Bites 2 Binge                                     ,Indiranagar,750,3.7,['North Indian']
8 Slice                                     ,Koramangala 6th Block,600,3.7,['Pizza']
Dhaba Express                                     ,HSR,400,3.7,"['Biryani', 'Fast Food', 'North Indian', 'Chinese']"
Midnight Pizza Slurpp                                     ,Koramangala 4th Block,700,3.7,"['Italian', 'Pizza']"
Outdoor Food Truck                                     ,Yelahanka,300,3.7,"['Continental', 'Fast Food', 'American']"
Kolkata Famous Kati Rolls                                     ,Bellandur,100,3.7,"['Fast Food', 'Rolls']"
Piñata                                     ,Bellandur,400,3.7,['Bakery']
Gowdara Hatti                                     ,Malleshwaram,300,3.7,['South Indian']
Bombay Food Express                                      ,Shanti Nagar,250,3.7,"['Street Food', 'Fast Food']"
The Souk                                     ,"Skywalk, Ulsoor",800,3.7,"['Cafe', 'Mediterranean', 'Italian', 'Pizza', 'Continental']"
Yuan Restaurant                                     ,HBR Layout,600,3.7,"['Chinese', 'Momos']"
Santosh Chats                                     ,Yelahanka,200,3.7,"['North Indian', 'Chinese']"
The Whiskey Bar                                     ,Radisson Blu Atria,"2,800",3.7,"['Finger Food', 'North Indian']"
Chandrima's Kitchen                                     ,Bannerghatta Road,400,3.7,"['Bengali', 'North Indian']"
King's Appetite                                     ,"By The Way, Electronic City",500,3.7,"['North Indian', 'Chinese']"
Juice Junction Food Court                                     ,Koramangala 6th Block,250,3.7,"['Beverages', 'Juices', 'Fast Food']"
VarieTea                                     ,New BEL Road,50,3.7,['Tea']
Chaithanya Delicacy                                     ,Richmond Road,600,3.7,"['South Indian', 'North Indian', 'Chinese', 'Beverages']"
Hotel Ashoka                                     ,Shivajinagar,200,3.7,['South Indian']
Papacream                                     ,JP Nagar,350,3.7,"['Desserts', 'Ice Cream']"
Hotel Rangoon                                     ,Ulsoor,300,3.7,['Burmese']
Food Mood                                     ,Whitefield,350,3.7,"['North Indian', 'Chinese']"
New Rajadhani Spicy                                     ,Kumaraswamy Layout,700,3.7,['North Indian']
Sri Guru Nalapaka                                     ,KR Puram,400,3.7,"['Chinese', 'North Indian', 'South Indian']"
Lickity Garden,Frazer Town,750,3.7,"['Continental', 'Mexican', 'Biryani', 'Italian', 'Chinese', 'Arabian', 'Steak']"
Once In Nature                                     ,JP Nagar,300,3.7,['Healthy Food']
Cafe Choco Craze                                     ,Bannerghatta Road,400,3.7,"['Cafe', 'Fast Food', 'Desserts']"
Hunger Bee                                     ,Bannerghatta Road,500,3.7,"['Biryani', 'North Indian', 'South Indian']"
Cafe Hut - Tea                                     ,Kanakapura Road,200,3.7,['Fast Food']
Cafe Soul Valley                                     ,Hennur,500,3.7,"['Cafe', 'Continental']"
Tetto                                     ,Koramangala 1st Block,"1,200",3.7,['Continental']
My Little China                                     ,Hennur,300,3.7,"['Chinese', 'North Indian']"
Wok Steam & Grills                                     ,Marathahalli,400,3.7,['Asian']
Lassi Shack                                     ,Sarjapur Road,200,3.7,"['Beverages', 'Ice Cream']"
The Hungers Zone                                     ,BTM,300,3.7,"['Fast Food', 'Italian', 'Pizza']"
The Kitchen                                     ,Electronic City,250,3.7,"['North Indian', 'Chinese']"
Smoke de Burger                                     ,Koramangala 5th Block,300,3.7,['Fast Food']
Paakam                                     ,Marathahalli,150,3.7,['South Indian']
The 4th Meal                                     ,Rajarajeshwari Nagar,300,3.7,"['North Indian', 'Chinese']"
Jaishree Pavilion                                     ,Thippasandra,700,3.7,"['North Indian', 'South Indian', 'Chinese']"
Atithis Juice and Chats                                     ,Malleshwaram,250,3.7,"['Juices', 'Street Food']"
Just Juice                                     ,Shanti Nagar,200,3.7,"['Juices', 'Fast Food']"
Mothi Restaurant                                     ,Whitefield,350,3.7,"['North Indian', 'Kerala']"
Pooja's Kitchen                                     ,Koramangala 8th Block,300,3.7,"['Bengali', 'Street Food']"
Venice Kerala Restaurant                                     ,Brookefield,200,3.7,['Kerala']
Samosa Corner                                     ,Bellandur,100,3.7,['Street Food']
Just Juice                                     ,Shanti Nagar,200,3.7,"['Juices', 'Fast Food']"
Mahalakshmi Refreshments                                     ,Rajajinagar,200,3.7,['South Indian']
Paranthas and Dosas                                     ,Kalyan Nagar,400,3.7,"['North Indian', 'South Indian']"
The Open Cafe                                     ,HSR,500,3.7,"['Cafe', 'Chinese', 'Continental']"
Cafe Potpourri                                     ,JP Nagar,400,3.7,"['Cafe', 'Sandwich', 'North Indian', 'Beverages', 'Desserts']"
Rajveena Kitchen                                     ,BTM,500,3.7,"['North Indian', 'Fast Food', 'Biryani', 'Chinese']"
Cafe of Joy                                     ,Whitefield,600,3.7,['Continental']
Fruit Face                                     ,Indiranagar,300,3.7,"['Fast Food', 'Street Food', 'Beverages']"
Nandhitha Garden                                     ,Yelahanka,600,3.7,"['Chinese', 'North Indian']"
Namakh Store And Cafe                                     ,New BEL Road,400,3.7,"['Cafe', 'Continental', 'American']"
Tastybites.com                                     ,Brookefield,150,3.7,"['Fast Food', 'Sandwich', 'South Indian']"
Hotel Annalakshmi                                     ,Yelahanka,300,3.7,"['South Indian', 'Chinese']"
Hotel Annalakshmi                                     ,Yelahanka,300,3.7,"['South Indian', 'Chinese']"
S M V Snacks Corner                                     ,Basavanagudi,200,3.7,['Fast Food']
Mid Night Hunting                                     ,Ejipura,300,3.7,"['Fast Food', 'Italian']"
Navrang Kabab Korner                                     ,Rajajinagar,600,3.7,"['North Indian', 'Mughlai', 'Biryani', 'Chinese', 'Kebab']"
Baker Ree                                     ,Frazer Town,200,3.7,"['Bakery', 'Desserts']"
Al-Baik Tandoori Restaurant                                     ,Nagawara,450,3.7,"['North Indian', 'Chinese', 'Arabian', 'Biryani', 'Rolls']"
DeliBox.in                                     ,BTM,150,3.7,['South Indian']
Hoodi Baba A Str-eat Caff                                     ,Whitefield,300,3.7,"['North Indian', 'Street Food']"
Bake Delite                                     ,Kumaraswamy Layout,400,3.7,"['Bakery', 'Fast Food']"
Inchara Family Restaurant                                     ,Yelahanka,700,3.7,"['North Indian', 'Chinese']"
Desi Cream Junction                                     ,Jayanagar,650,3.7,"['Chinese', 'North Indian', 'Pizza', 'Italian']"
Archana's First Crush                                     ,Sarjapur Road,400,3.7,"['Bakery', 'Desserts']"
Hotel Dil Coorg                                     ,Ulsoor,300,3.7,"['North Indian', 'South Indian']"
Cream N Desserts                                     ,"Forum Mall, Koramangala",400,3.7,"['Desserts', 'Beverages']"
The Cake Mart                                     ,Old Airport Road,600,3.7,"['Bakery', 'Desserts']"
Desi Dhaba                                     ,Koramangala 7th Block,300,3.7,"['North Indian', 'Chinese', 'Rolls']"
Pop'z Kitchen                                     ,Lavelle Road,250,3.7,['Bakery']
Unlock - The Restobar - Keys Hotel                                     ,Keys Hotel - Whitefield,"2,000",3.7,['Finger Food']
1992 Chats - Space                                     ,Rajajinagar,200,3.7,['Street Food']
Food Of Punjab                                     ,Ulsoor,200,3.7,['North Indian']
The Lounge - The Chancery Pavilion                                     ,"The Chancery Pavilion, Residency Road","2,000",3.7,"['Chinese', 'North Indian', 'South Indian']"
Obsidian Sports and Music Bar -Gokulam Grand Hotel &...                                     ,"Gokulam Grand Hotel & Spa, New BEL Road","2,000",3.7,['Continental']
HSR SLV Fast Food                                     ,HSR,200,3.7,"['South Indian', 'Fast Food']"
Indian Tadka                                     ,"Inorbit Mall, Whitefield",700,3.7,['North Indian']
Jodhpur Sweets & Corner                                     ,BTM,200,3.7,"['Desserts', 'Street Food', 'Mithai']"
Popular Bakery                                     ,HSR,600,3.7,"['Desserts', 'Bakery']"
Chung Shan Chinese Restaurant                                     ,Ejipura,500,3.7,"['Chinese', 'Momos']"
Raghavendra Upahara                                     ,Jayanagar,200,3.7,['South Indian']
Jaisalmer                                     ,"Nahar's Heritage Hotel, St. Marks Road",700,3.7,"['North Indian', 'Chinese']"
Nilu Ki Rasoi                                     ,BTM,250,3.7,"['North Indian', 'Chinese']"
Chaithanya Veg                                     ,Indiranagar,200,3.7,"['South Indian', 'North Indian', 'Chinese']"
The Little Kitchen                                     ,Jayanagar,300,3.7,"['Chinese', 'Momos']"
Ice N Spice                                     ,MG Road,200,3.7,['Desserts']
Karavali Lunch Home                                     ,Kumaraswamy Layout,350,3.7,"['South Indian', 'Mangalorean']"
Cane Crussh                                     ,Koramangala 6th Block,100,3.7,['Juices']
Stone House Cafe                                     ,Rajarajeshwari Nagar,500,3.7,"['Ice Cream', 'Cafe', 'Fast Food']"
Billionaires Cafe                                     ,Koramangala 5th Block,600,3.7,"['Cafe', 'Italian']"
Tingling Spice -  The Fern Residency                                     ,The Fern Residency,800,3.7,"['North Indian', 'Continental', 'Andhra']"
Palar Restaurant                                     ,Marathahalli,700,3.7,"['Andhra', 'North Indian']"
The Farm House Bar n Grill                                     ,Whitefield,800,3.7,"['North Indian', 'Continental']"
Curries'N' Fries                                     ,HSR,400,3.7,['Andhra']
Lancy Sweets                                     ,Electronic City,200,3.7,['Mithai']
Afghani Tandoori Hub                                     ,BTM,400,3.7,"['Arabian', 'Afghan']"
Five Star Chicken,Indiranagar,200,3.7,['Fast Food']
Shiva Sai Khanavali                                     ,Rajarajeshwari Nagar,150,3.7,['South Indian']
Old Stories                                     ,Electronic City,600,3.7,"['Bengali', 'North Indian', 'Oriya']"
Fatima Bakery                                     ,Richmond Road,300,3.7,"['Bakery', 'Fast Food']"
Sri Idli Mane                                     ,Basavanagudi,150,3.7,['South Indian']
Ganesh Grand                                     ,Basavanagudi,300,3.7,"['South Indian', 'North Indian', 'Desserts']"
The Cake House                                     ,Ulsoor,300,3.7,"['Bakery', 'Fast Food']"
Chicken Man                                     ,Bellandur,400,3.7,"['Roast Chicken', 'Burger']"
Mughal Era                                     ,Kanakapura Road,800,3.7,"['Mughlai', 'North Indian', 'Chinese', 'Beverages', 'Seafood']"
Brundhavan Biriyani House                                     ,Rajarajeshwari Nagar,400,3.7,"['Biryani', 'North Indian', 'Chinese']"
Assi Tussi Lassi                                     ,Ejipura,200,3.7,"['Beverages', 'Fast Food', 'Ice Cream']"
Donne Biryani House                                     ,Vijay Nagar,400,3.7,"['Biryani', 'Kebab']"
GKT Biryani World                                     ,HSR,350,3.7,"['Biryani', 'Italian', 'BBQ']"
Kaizen Wellness Kitchen                                     ,JP Nagar,800,3.7,"['Asian', 'Continental', 'European']"
Mylari Biryani Family Restaurant                                     ,Banashankari,400,3.7,"['Biryani', 'Fast Food']"
Sri Banashankari Special Donne Biriyani                                     ,Rajarajeshwari Nagar,300,3.7,['Biryani']
Juice Junction                                     ,HSR,200,3.7,"['Juices', 'Fast Food']"
Ghar Ka Khana                                     ,Koramangala 1st Block,150,3.7,['North Indian']
Hotel Aradhana                                     ,Bannerghatta Road,300,3.7,['North Indian']
Biryani Express                                     ,Whitefield,600,3.7,"['Biryani', 'North Indian']"
Desi Bites                                     ,Nagawara,600,3.7,"['Rajasthani', 'North Indian', 'Chinese']"
Foodiesthan                                     ,HSR,600,3.7,"['Cafe', 'Fast Food', 'North Indian']"
Rustic Stove                                     ,Jayanagar,900,3.7,"['North Indian', 'South Indian', 'Biryani', 'Beverages']"
Taste Buds                                     ,Jalahalli,300,3.7,['North Indian']
Highland Nectar - ITC Gardenia                                     ,ITC Gardenia,"2,500",3.7,"['Continental', 'South Indian']"
New Punjabi Hotel                                     ,Indiranagar,300,3.7,"['North Indian', 'Chinese']"
Tiffin Inn's                                     ,Marathahalli,250,3.7,['South Indian']
Java                                     ,Old Airport Road,700,3.7,"['North Indian', 'Chinese']"
Snow Gola                                     ,"5th Avenue, Brigade Road",150,3.7,['Desserts']
Davanagere Butter Dosa Hotel                                      ,Basaveshwara Nagar,150,3.7,['South Indian']
Wow Vada Pav                                     ,HSR,150,3.7,"['Street Food', 'Burger', 'Fast Food']"
My Little China                                     ,Hennur,300,3.7,"['Chinese', 'Seafood']"
Aromas Of South                                     ,Hotel 37th Crescent Seshadripuram,"1,000",3.7,['South Indian']
Hotel Shalimar Meeting Point                                     ,Jakkur,450,3.7,"['North Indian', 'Chinese']"
Shri Krishna Bhavan                                     ,Thippasandra,350,3.7,"['South Indian', 'Chinese', 'North Indian', 'Street Food']"
Shrusti Coffee                                     ,Malleshwaram,150,3.7,"['Cafe', 'South Indian']"
Ambika Vegetarian Hotel                                     ,Rajajinagar,500,3.7,"['North Indian', 'Fast Food']"
North Indian And Bengali Mess                                     ,Koramangala 5th Block,300,3.7,"['North Indian', 'Bengali']"
Icecreamist                                     ,Jakkur,300,3.7,"['Desserts', 'Ice Cream', 'Sandwich']"
Food Feed Restaurant                                     ,New BEL Road,750,3.7,"['Arabian', 'Chinese', 'Kerala', 'North Indian']"
Kaapi Kendra                                     ,Jayanagar,100,3.7,['South Indian']
Chaiywaala Da Dhaba                                     ,New BEL Road,250,3.7,"['Cafe', 'Tea']"
Machli Family Restaurant                                     ,Yelahanka,450,3.7,"['Seafood', 'Chinese', 'North Indian']"
Lassi Time                                     ,RT Nagar,150,3.7,['Beverages']
Kolbeh                                     ,Banashankari,500,3.7,['Fast Food']
Manna Treat                                     ,Hebbal,600,3.7,"['North Indian', 'Chinese']"
Kenny's Restaurant                                     ,Banaswadi,450,3.7,['Chinese']
Sri Sagar                                     ,Kammanahalli,300,3.7,"['South Indian', 'North Indian', 'Chinese', 'Street Food', 'Juices']"
Salted Chilli                                     ,Electronic City,600,3.7,"['Biryani', 'North Indian', 'Chinese']"
Sri Vahini Paradise                                     ,Nagawara,500,3.7,"['Andhra', 'Chinese', 'North Indian', 'South Indian']"
Petuk                                     ,Whitefield,400,3.7,"['Bengali', 'North Indian', 'Chinese', 'Biryani']"
InnerChef                                     ,Whitefield,500,3.7,"['North Indian', 'Continental']"
Brahmins Food Corner                                     ,Jalahalli,400,3.7,"['South Indian', 'North Indian', 'Chinese']"
Ember Grill                                     ,Yelahanka,600,3.7,"['North Indian', 'Chinese']"
Woodee Pizza                                     ,Banashankari,500,3.7,"['Cafe', 'Pizza', 'Fast Food', 'Beverages']"
Pepperwood                                     ,Sarjapur Road,300,3.7,"['Biryani', 'Rolls']"
Khana Khazana                                     ,Bannerghatta Road,400,3.7,['North Indian']
Imperial Restaurant,Marathahalli,700,3.7,"['Biryani', 'Mughlai', 'Chinese', 'Arabian']"
Cafe Get Hooked                                     ,Banaswadi,600,3.7,['Cafe']
SnacksJoint                                     ,Jeevan Bhima Nagar,150,3.7,['Fast Food']
Santo's                                     ,New BEL Road,650,3.7,"['North Indian', 'Fast Food']"
White Horse                                     ,Malleshwaram,"1,100",3.7,"['Finger Food', 'Chinese', 'North Indian']"
Puff Cafe                                     ,New BEL Road,700,3.7,"['Cafe', 'Italian', 'American']"
Bunker Restaurant                                     ,Sarjapur Road,300,3.7,"['North Indian', 'South Indian', 'Fast Food', 'Momos']"
Retreat Restaurant                                     ,RT Nagar,500,3.7,"['Chinese', 'North Indian']"
Blue Wings Bar & Restaurant                                     ,Banashankari,700,3.7,"['North Indian', 'Chinese']"
Food Club Restaurant                                     ,Electronic City,500,3.7,"['North Indian', 'Chinese']"
Shree Idly Corner                                     ,Commercial Street,150,3.7,['South Indian']
Mars Chicken Delight                                     ,Koramangala 1st Block,300,3.7,"['North Indian', 'Chinese']"
Cafe @ Elanza                                     ,Richmond Road,"1,000",3.7,"['Chinese', 'North Indian', 'Cafe']"
Chopserve                                     ,Koramangala 1st Block,350,3.7,"['Rolls', 'BBQ']"
Amnesia - The Poolside Bar                                     ,"The Chancery Pavilion, Residency Road","2,000",3.7,"['North Indian', 'Chinese', 'Continental']"
Desi Foodizzz                                     ,Brookefield,600,3.7,"['North Indian', 'Chinese']"
Cafe Olive Planet                                     ,Yelahanka,650,3.7,"['Cafe', 'Continental']"
Zatar House,Electronic City,400,3.7,"['South Indian', 'North Indian', 'Chinese']"
Hotel Pork Paradise                                     ,Mysore Road,300,3.7,['South Indian']
Ambrosia                                     ,International Airport,"2,200",3.7,"['Continental', 'South Indian', 'North Indian', 'Chinese']"
Lassi Shop,Vasanth Nagar,100,3.7,"['Beverages', 'Juices']"
Smoke Oil Salt                                     ,BTM,850,3.7,['Arabian']
Foreign Café                                     ,Hennur,500,3.7,['Continental']
Angiie's Cafe                                     ,Sarjapur Road,450,3.7,"['Burger', 'Fast Food']"
People Tree Cafe                                     ,Jayanagar,400,3.7,"['Cafe', 'Fast Food', 'Beverages']"
Vinaya Cafe                                     ,JP Nagar,200,3.7,"['South Indian', 'Street Food', 'Juices']"
Oil Pump                                     ,Koramangala 6th Block,"1,000",3.7,"['Finger Food', 'Continental']"
Flavours Inn                                     ,New BEL Road,500,3.7,"['Kerala', 'North Indian', 'Chinese']"
Singh Saab                                     ,Indiranagar,800,3.7,"['North Indian', 'Chinese', 'Mughlai']"
Patiala Highway                                     ,Koramangala 6th Block,700,3.7,['North Indian']
Leon's Take Away                                     ,Banaswadi,450,3.7,"['Chinese', 'North Indian', 'Fast Food']"
Dal Roti                                     ,JP Nagar,150,3.7,['North Indian']
Mukati Kitchen                                     ,Thippasandra,500,3.7,"['North Indian', 'Continental', 'Chinese', 'Italian']"
Taiyvan's                                     ,RT Nagar,500,3.7,"['Chinese', 'Thai', 'Seafood', 'Malaysian']"
Cafe 221B                                     ,BTM,300,3.7,"['Cafe', 'Beverages']"
Abhinandana Gardenia                                     ,Jakkur,700,3.7,"['South Indian', 'North Indian', 'Chinese']"
Xpress Chai                                     ,BTM,150,3.7,['Tea']
Brundhavana Pure Veg                                     ,JP Nagar,500,3.7,"['South Indian', 'North Indian', 'Chinese', 'Beverages']"
Byroute Eatery                                     ,Vijay Nagar,600,3.7,"['Continental', 'Chinese', 'North Indian']"
Udupi South Saviruchi                                     ,Jalahalli,250,3.7,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
