rest_name,locality,cost_for_two,rating,cuisines
The Hole in the Wall Cafe,Koramangala 4th Block,600,4.6,"['Cafe', 'American', 'Burger']"
Brew and Barbeque - A Microbrewery Pub,"Soul Space Arena Mall, Marathahalli","1,400",4.6,"['Continental', 'North Indian', 'BBQ', 'Steak']"
Via Milano,Sarjapur Road,"1,500",4.6,"['Salad', 'Italian', 'Desserts', 'Pizza']"
The Blue Wagon - Kitchen,Jayanagar,400,4.6,"['Cafe', 'Beverages']"
The Fatty Bao - Asian Gastro Bar,Indiranagar,"1,200",4.6,"['Japanese', 'Sushi', 'Asian']"
Burma Burma,Indiranagar,"1,500",4.6,"['Asian', 'Burmese']"
Koramangala Social,Koramangala 7th Block,"1,500",4.6,"['American', 'North Indian', 'Chinese', 'Finger Food']"
Levitate Brewery and Kitchen,JP Nagar,"1,500",4.6,"['Finger Food', 'North Indian', 'Continental']"
The Pallet,Whitefield,"1,600",4.5,"['Continental', 'Mediterranean', 'Italian', 'North Indian', 'Finger Food', 'Asian', 'Momos']"
Cloud Cafe,Nagarbhavi,700,4.5,"['Cafe', 'Continental', 'American', 'Italian', 'Beverages']"
HOMMS,Marathahalli,300,4.5,"['Momos', 'Chinese', 'Fast Food']"
Mudpipe Cafe,BTM,900,4.5,"['Cafe', 'Continental', 'Burger']"
Simon Says Brew Works,Koramangala 5th Block,"1,400",4.5,"['Continental', 'American', 'Italian', 'Modern Indian', 'Pizza', 'Burger']"
Buff Buffet Buff,"BluPetal Hotel, Koramangala","1,500",4.5,"['North Indian', 'Chinese', 'Continental', 'Thai', 'Salad']"
Polar Bear,"Varthur Main Road, Whitefield",300,4.5,"['Desserts', 'Ice Cream']"
Sly Granny - The Community House,Indiranagar,"2,500",4.5,"['Modern Indian', 'European', 'American']"
Shao - Radisson Blu,"Radisson Blu, Marathahalli","3,000",4.5,"['Thai', 'Japanese', 'Chinese']"
Haute,Indiranagar,"1,200",4.5,"['Continental', 'European', 'Asian', 'Seafood', 'Spanish']"
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,600,4.5,"['Cafe', 'Italian', 'Desserts']"
Wild Thyme Restaurant                                     ,Koramangala 5th Block,800,4.5,"['Chinese', 'Continental', 'North Indian', 'Italian', 'Seafood']"
Veena Stores,Malleshwaram,150,4.5,['South Indian']
Karma Kaapi,Jayanagar,250,4.5,"['Beverages', 'Tea']"
Vanilla Sky,HSR,"1,200",4.5,"['Chinese', 'Continental', 'North Indian', 'Finger Food']"
The Permit Room,Brigade Road,"1,500",4.5,['South Indian']
Republic Of Noodles - Lemon Tree Premier,"Lemon Tree Premier, Ulsoor","1,800",4.5,"['Malaysian', 'Singaporean', 'Thai']"
Output Bengaluru,"Soul Space Arena Mall, Marathahalli","1,000",4.5,"['North Indian', 'Continental']"
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,900,4.5,"['American', 'Cafe', 'Continental', 'French', 'Burger', 'Mexican', 'Desserts', 'Pizza']"
Chai Days,Indiranagar,200,4.5,"['Cafe', 'Tea', 'Beverages', 'Fast Food']"
"3B's - Buddies, Bar & Barbecues",Marathahalli,"1,100",4.5,"['North Indian', 'Mediterranean', 'European', 'BBQ']"
Avista Cafe Pizzeria,Hennur,650,4.5,"['Cafe', 'Italian']"
