rest_name,locality,cuisines,cost_for_two,rating
Sector 7 Café                                     ,HSR,"['Cafe', 'Continental', 'Pizza', 'Salad']",700,4.3
Cafesta                                     ,"Ascendas Park Square, Whitefield","['Cafe', 'Italian', 'Fast Food', 'Desserts']",550,4.3
The Daily                                     ,Electronic City,"['Rajasthani', 'North Indian']",400,4
The Courtyard                                     ,Shanti Nagar,"['Cafe', 'Italian']",750,3.9
JustBe Cafe                                     ,Sadashiv Nagar,"['Cafe', 'Beverages', 'Healthy Food']","1,000",4.3
Safe House                                     ,HSR,"['Continental', 'North Indian', 'Chinese', 'Finger Food']","1,200",4.1
Bold                                     ,Marathahalli,"['Modern Indian', 'Continental', 'North Indian']","1,500",3.9
Napoli Italian Bistro                                     ,HSR,"['Italian', 'Mexican', 'Continental', 'Pizza']","1,200",4.1
Cosmos Resto Bar                                     ,Rajarajeshwari Nagar,"['Continental', 'North Indian', 'Chinese', 'Andhra']","1,000",4
Bangalore Pub Exchange                                     ,"1 MG Road Mall, MG Road","['Continental', 'Finger Food', 'Pizza', 'North Indian']","1,000",4.2
Power House Pitstsa                                     ,Indiranagar,"['Continental', 'Burger', 'Desserts', 'Sandwich', 'Italian', 'Pizza', 'Bakery', 'Salad']",800,                                         NEW                                     
Hot Griddle                                     ,Jayanagar,"['Asian', 'Continental', 'Chinese', 'North Indian']","1,000",                                         NEW                                     
RS Shiv Sagar Express                                     ,New BEL Road,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']",300,                                         NEW                                     
Fish Chain                                     ,HSR,"['Seafood', 'BBQ', 'Biryani']",200,4.1
Rajathadri Food Fort                                     ,Jayanagar,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",600,4
The Local - Terrace Drinkery                                     ,Koramangala 6th Block,"['Continental', 'American', 'Pizza', 'BBQ']","1,000",4
Smooth                                     ,"Vega City, Bannerghatta Road","['Desserts', 'Ice Cream']",500,                                         NEW                                     
Dialogues                                     ,Koramangala 4th Block,"['Cafe', 'Continental']",600,4.1
Sriracha Robata & Contemporary Pan Asian Dining                                     ,Indiranagar,"['Asian', 'BBQ', 'Seafood', 'Chinese']","1,000",                                         NEW                                     
Cravisthan                                     ,Domlur,"['South Indian', 'North Indian']",500,                                         NEW                                     
Rajwadi                                     ,Brookefield,"['North Indian', 'Street Food']",500,3.5
nu.tree                                     ,Electronic City,"['North Indian', 'Healthy Food', 'Beverages']",400,                                         NEW                                     
Patio 805                                     ,Jayanagar,"['Thai', 'Vietnamese', 'Asian', 'Chinese']","1,200",4
Gud Dhani                                     ,BTM,['Rajasthani'],500,4
Jaffa's Biryani                                     ,Marathahalli,"['Biryani', 'North Indian', 'Chinese']",650,3.8
Suryawanshi                                     ,Whitefield,"['Maharashtrian', 'Seafood']",700,4.2
Kannur Food Point                                     ,BTM,"['Kerala', 'Chinese']",200,4
The Bridge Walk Cafe                                     ,Kengeri,"['Cafe', 'Continental']",500,3.8
Delixious                                     ,Yeshwantpur,"['North Indian', 'Fast Food']",200,                                         NEW                                     
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...                                     ,"Sheraton Grand Bengaluru, Whitefield","['Continental', 'Asian', 'South Indian', 'North Indian']","2,500",4.5
Sloshed                                     ,Basaveshwara Nagar,"['Arabian', 'Chinese', 'Continental', 'North Indian', 'Finger Food']","1,200",3.9
IceBreakers                                     ,Koramangala 6th Block,"['Desserts', 'Ice Cream']",500,4.5
The Blue Wagon - Kitchen                                     ,Jayanagar,"['Cafe', 'Beverages']",400,4.6
Rajanna Military Hotel                                     ,Jayanagar,"['Biryani', 'Fast Food']",400,4.1
Raghavendra Tiffin                                     ,HSR,['South Indian'],150,4.4
Pulimunchi                                     ,Indiranagar,"['Mangalorean', 'Seafood']","1,000",4.3
Fresh Food Delivery                                     ,Old Airport Road,"['North Indian', 'Biryani', 'South Indian', 'Beverages']",300,                                         NEW                                     
Petoo                                     ,Jeevan Bhima Nagar,"['North Indian', 'Fast Food', 'Street Food']",800,4
Hotel Aditya                                     ,Rajajinagar,"['South Indian', 'Biryani']",300,4.3
The Hobbit Cafe                                     ,Koramangala 5th Block,"['Cafe', 'Mediterranean', 'Continental', 'Pizza']",600,                                         NEW                                     
Sardaar Ka Chulla                                     ,Marathahalli,"['North Indian', 'Mughlai']",450,                                         NEW                                     
Gavran Misal                                     ,HSR,['Street Food'],250,                                         NEW                                     
Donne Biriyani House                                     ,JP Nagar,"['Biryani', 'Andhra']",350,3.3
Tea Brew                                     ,Indiranagar,"['Cafe', 'Continental', 'Momos', 'Italian', 'North Indian']",500,4.1
Karachi Bakery                                     ,Indiranagar,"['Bakery', 'Fast Food', 'Beverages', 'Desserts']",500,3.9
Fabcafe                                     ,MG Road,"['Cafe', 'Healthy Food']",800,4.2
Dadi's Dum Biryani                                     ,BTM,"['Biryani', 'North Indian', 'Mughlai']",800,4.1
Le Casse Croûte                                     ,Thippasandra,"['Fast Food', 'Sandwich']",800,4.4
Bengali Fun Foods                                     ,BTM,"['Bengali', 'North Indian']",600,4
The London Shakes                                     ,Marathahalli,"['Fast Food', 'Beverages']",300,4.1
Attic Lounge                                     ,Koramangala 4th Block,['Cafe'],700,4
Kaafi Desi                                     ,Marathahalli,"['North Indian', 'Street Food']",150,4.1
Bulls N Bears - Bar Trade Xchange                                     ,Koramangala 5th Block,"['Finger Food', 'North Indian', 'Continental', 'Pizza']","1,000",3.8
Priyadarshini Grand                                     ,Basaveshwara Nagar,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",400,4
Hyderabad Biryani House                                     ,Malleshwaram,"['Biryani', 'Hyderabadi', 'Chinese']",800,4.1
Umesh Dosa Point                                     ,Seshadripuram,['South Indian'],150,4.3
Parrattha Ssinghh                                     ,Bellandur,['North Indian'],250,                                         NEW                                     
When North Met South                                     ,Sarjapur Road,"['North Indian', 'South Indian']",800,                                         NEW                                     
Mangalore Pearl - Seafood Restaurant                                     ,Frazer Town,"['Mangalorean', 'Seafood']",700,4.3
Akshaya Deluxe                                     ,New BEL Road,"['North Indian', 'Chinese', 'Seafood', 'Biryani']",500,4
Zhang's  - Chinese Restaurant                                     ,JP Nagar,"['Chinese', 'Momos']",700,4.1
Abhiruchi Hotel                                     ,BTM,"['Andhra', 'Biryani', 'Chinese', 'North Indian', 'Seafood', 'South Indian']",600,3.5
Ambur Biryani Point                                     ,Koramangala 1st Block,"['Biryani', 'Kebab']",250,4.2
Bathinda Dine                                     ,Indiranagar,['North Indian'],950,4.1
Punjabi Times                                     ,Bellandur,['North Indian'],"1,100",4.1
Sakae Japanese Restaurant                                     ,Shanti Nagar,['Japanese'],"1,400",4.3
Bufferia                                     ,Marathahalli,"['Asian', 'Continental', 'European', 'Mediterranean']","1,500",4
The Buffet Table                                     ,HSR,"['North Indian', 'Pan Asian', 'Chinese', 'Italian', 'Continental', 'South Indian']","1,200",4.1
Local Host                                     ,Whitefield,"['Fast Food', 'Street Food', 'Desserts', 'Beverages']",250,                                         NEW                                     
Moti Mahal Delux                                     ,HSR,"['North Indian', 'Mughlai']","1,000",4
Peppy Peppers                                     ,Banashankari,"['Italian', 'North Indian', 'Mexican']",800,4.2
Aattutheeram Kerala Restaurant                                     ,Hennur,['Kerala'],300,4.2
Bamboo Restaurant                                     ,Kalyan Nagar,"['Chinese', 'North Indian', 'South Indian']",700,                                         NEW                                     
Mint and Mustard                                     ,Basavanagudi,"['North Indian', 'Chinese']",750,4
Indian Spice Food                                     ,Ulsoor,"['North Indian', 'Chinese']",300,3.7
South Spicy Bites Express                                     ,Sahakara Nagar,"['Seafood', 'Chinese', 'South Indian']",400,3.9
Zingron                                     ,Koramangala 7th Block,"['Chinese', 'Naga']",750,4.1
Le Gateau - The Cake Shop                                     ,Old Airport Road,"['Desserts', 'Bakery']",600,4.4
The Bundle Co.                                     ,MG Road,"['Burger', 'Continental', 'Italian', 'Beverages']",700,4.4
Kidilum                                     ,Whitefield,"['Kerala', 'Chinese', 'North Indian']",350,3.8
Bistro Claytopia                                     ,Koramangala 1st Block,"['Cafe', 'American', 'Italian', 'Burger']",600,4.1
Khan Saheb Grills and Rolls                                     ,Kalyan Nagar,"['Fast Food', 'Rolls']",400,3.5
Shree Muthahalli Veg                                     ,HSR,"['South Indian', 'North Indian', 'Chinese', 'Juices', 'Ice Cream']",300,4.2
Cake of the Day                                     ,Banashankari,['Bakery'],150,3.7
Mane Holige                                     ,Jayanagar,"['Mithai', 'South Indian']",200,4.3
Chaipatty                                     ,Indiranagar,['Cafe'],300,3
Hotel Brundavan                                     ,Bannerghatta Road,"['South Indian', 'North Indian', 'Chinese', 'Andhra']",250,3.8
Biryani Rooh-e-Khaas                                     ,HSR,"['Biryani', 'Mughlai']",500,4.2
Tandoor                                     ,MG Road,['North Indian'],"2,100",3.9
Kya Khaoge                                     ,Old Airport Road,"['North Indian', 'Chinese']",300,3.6
Khatta Meetha Teekha                                     ,Koramangala 6th Block,"['Street Food', 'North Indian', 'Mithai', 'Chinese', 'Beverages']",300,4.3
Teburu                                     ,Kalyan Nagar,"['Asian', 'Chinese', 'Japanese', 'BBQ']",800,4.4
Oldtown Dilli                                     ,Koramangala 4th Block,"['Mughlai', 'North Indian', 'Turkish', 'Afghan']",750,4.1
M.M.A. Kabab's & Biriyani Center                                     ,Brookefield,"['Arabian', 'Mughlai', 'Chinese', 'Kebab', 'Fast Food']",400,3.3
Muthashy's                                     ,BTM,"['Kerala', 'South Indian', 'Chinese']",400,4.2
Tamarind - Tamarind Hospitality                                     ,Tamarind Hospitality,"['Chinese', 'Continental', 'North Indian']",750,3.9
Laughing Llama Gastropub                                     ,Brigade Road,"['Finger Food', 'Continental', 'Pizza']","1,600",4.2
Chawla's 2 Online.com                                     ,Frazer Town,['North Indian'],800,3.8
Roti Ghar Ki                                     ,Whitefield,"['North Indian', 'Chinese', 'Biryani']",400,4
BITEBOX                                     ,Marathahalli,"['North Indian', 'Chinese', 'Mughlai', 'Desserts']",300,4.4
Kabab Mehal                                     ,Kanakapura Road,"['North Indian', 'Chinese', 'Mughlai', 'Rolls', 'Juices']",500,3.8
Santosh Punjabi Dhaba                                     ,Yelahanka,['North Indian'],300,4
Cafe Noir                                     ,UB City,"['European', 'French', 'Salad']","1,500",4.2
Village - The Soul of India                                     ,"Bangalore Central, JP Nagar","['Rajasthani', 'Gujarati', 'North Indian', 'South Indian']","1,000",4.1
Jalpaan                                     ,Jayanagar,"['North Indian', 'Continental']",900,4
Peacock                                     ,Indiranagar,"['North Indian', 'BBQ', 'Mughlai']","1,200",4
BAR BAR                                     ,"Phoenix Market City Mall, Whitefield","['Continental', 'North Indian', 'Italian']","1,500",4.1
Smaaash                                     ,"Phoenix Market City Mall, Whitefield","['North Indian', 'Pizza', 'Chinese']","1,500",4
Café Kaffea                                     ,Vijay Nagar,"['Cafe', 'Continental', 'Beverages']",600,4.5
New Punjabi Food Corner                                     ,Electronic City,"['North Indian', 'Chinese']",500,3.9
Sri Jayadurga Biryani                                     ,Marathahalli,['Biryani'],300,3.6
Blu Oyster                                     ,Indiranagar,"['Seafood', 'Continental', 'European', 'Mediterranean']","1,500",                                         NEW                                     
Roy Hotel & Restaurant                                     ,New BEL Road,"['Bengali', 'North Indian']",300,3.9
Samrat Restaurant                                     ,"Hotel Chalukya, Race Course Road","['South Indian', 'North Indian']",600,4.1
i-Bar - The Park Bangalore                                     ,"The Park, MG Road","['North Indian', 'Chinese', 'Mediterranean']","3,000",3.8
Abi's Cafe & Restaurant                                     ,Yelahanka,"['North Indian', 'Chinese']",600,3.5
Peat & Fire                                     ,JP Nagar,"['North Indian', 'Maharashtrian']",700,                                         NEW                                     
Sweet Truth                                     ,RT Nagar,"['Bakery', 'Desserts']",500,4.2
Eating Love                                     ,Sarjapur Road,"['Cafe', 'Italian', 'Pizza']",800,4.3
Pizza Hut                                     ,"Ascendas Park Square, Whitefield","['Pizza', 'Fast Food']",750,3.7
Savitha Family Restaurant                                     ,Koramangala 4th Block,['North Indian'],500,4
Shudh                                     ,Sarjapur Road,['North Indian'],300,4.1
Shezan                                     ,Cunningham Road,"['Chinese', 'Continental', 'North Indian', 'Mughlai', 'Steak']",600,4.2
Koshe Kosha                                     ,Koramangala 1st Block,"['Bengali', 'Seafood']",600,4
Dhaba Social                                     ,Brookefield,['North Indian'],700,4
Marzipan Cafe & Bakery                                     ,Ulsoor,"['Cafe', 'Mediterranean', 'Bakery', 'Greek', 'Beverages']",700,4.2
Breads and Banter                                     ,Brookefield,"['Cafe', 'Bakery', 'Fast Food']",400,4.3
Liquid Bar - Hyatt Centric MG Road                                     ,"Hyatt Centric, MG Road","['Finger Food', 'Continental', 'Chinese']","2,400",4.1
Salvadores                                     ,MG Road,"['Mediterranean', 'Continental', 'French', 'Italian']","2,000",4.4
Aurum Brew Works                                     ,Sarjapur Road,"['American', 'Modern Indian']","1,500",                                         NEW                                     
Go Grab Eat                                     ,Kumaraswamy Layout,"['North Indian', 'Chinese', 'Rolls']",400,4.1
Penthouse Cafe                                     ,Banashankari,"['Cafe', 'Italian', 'Continental']",700,4.1
Karma Kaapi                                     ,Jayanagar,"['Beverages', 'Tea']",250,4.5
Amma's Pastries                                     ,HSR,"['Bakery', 'Desserts']",400,4.1
Madurai Idly Shop                                     ,Koramangala 6th Block,['South Indian'],200,3.8
Starbucks Coffee                                     ,Indiranagar,"['Cafe', 'Desserts']",700,4.2
Namaste                                     ,BTM,['South Indian'],100,                                         NEW                                     
Hungry Vihaari                                     ,Kalyan Nagar,"['Continental', 'Burger', 'Salad', 'Pizza', 'Beverages']",800,3.9
Star Bowl                                     ,HSR,"['North Indian', 'Chinese', 'Rolls']",650,                                         NEW                                     
Swad 'E' Punjab                                     ,Electronic City,"['North Indian', 'Chinese', 'Fast Food', 'Biryani']",500,3.6
Makers of Milkshakes                                     ,Koramangala 5th Block,['Beverages'],400,4.3
Nuts Over Salads Cafe                                     ,Koramangala 5th Block,"['Cafe', 'Salad', 'Healthy Food', 'Mexican']",800,4.4
Sree Krishna Kafe                                     ,Koramangala 5th Block,['South Indian'],200,4.2
Ente Keralam                                     ,Ulsoor,"['Kerala', 'Seafood']","1,300",4
Malleshwaram Dosa Corner                                     ,Malleshwaram,['South Indian'],120,4.4
South House                                     ,Brookefield,"['South Indian', 'Biryani']",800,4.2
Village Restaurant                                     ,Marathahalli,"['Arabian', 'Chinese', 'Kerala', 'North Indian', 'Biryani']","1,000",3.7
Andhra Biryanis                                     ,Nagawara,"['Andhra', 'North Indian', 'Chinese', 'Biryani']",550,4.1
Easy Bites                                     ,BTM,"['Fast Food', 'Sandwich']",300,4.1
Stories - The Kitchen                                     ,JP Nagar,"['Chinese', 'BBQ', 'North Indian', 'Fast Food']",500,                                         NEW                                     
Hungry Queen                                     ,HSR,"['North Indian', 'Chinese', 'Fast Food']",300,3.7
Mango Tree- The Beer Garden                                     ,JP Nagar,"['North Indian', 'Chinese', 'Continental']","1,200",4.1
The Higher Taste                                     ,Rajajinagar,"['Pizza', 'Biryani', 'North Indian', 'South Indian']",800,4.3
Roomali                                     ,Church Street,['North Indian'],"1,300",4
Hype - Shangri-La Hotel                                     ,"Shangri-La Hotel, Vasanth Nagar ",['Finger Food'],"3,000",4.4
The Hebbal Cafe - Courtyard By Marriott                                     ,"Courtyard by Marriott Bengaluru, Hebbal","['Continental', 'North Indian']","2,000",4.3
Bamboo Hut                                     ,Nagarbhavi,"['Chinese', 'Cafe', 'Fast Food']",700,4.6
Rishitha Restaurant                                     ,Whitefield,"['North Indian', 'Andhra']",500,3.8
Food Coma                                     ,Indiranagar,"['Continental', 'Seafood', 'Biryani', 'Desserts', 'North Indian', 'Chinese', 'Bakery', 'Kebab']",800,4
The Culinarium                                     ,Vasanth Nagar,"['Cafe', 'Desserts', 'Beverages']","1,100",4
Indian Spice Foods Family Restaurant                                     ,CV Raman Nagar,"['North Indian', 'Chinese', 'Fast Food']",350,                                         NEW                                     
The Yummy Box                                     ,Marathahalli,"['North Indian', 'Chinese']",200,3.8
Faasos                                     ,RT Nagar,"['North Indian', 'Biryani', 'Fast Food']",500,4.2
Vrachos Kitchen                                     ,Marathahalli,"['North Indian', 'Chinese']",350,                                         NEW                                     
The Gourmet Company                                     ,Marathahalli,"['North Indian', 'Biryani', 'Kebab']",500,                                         NEW                                     
Biriyani Section                                     ,Whitefield,"['Biryani', 'North Indian']",300,3.7
Popular Burger                                     ,Electronic City,"['Fast Food', 'Burger']",200,4.2
Kabab Factory                                     ,Nagarbhavi,"['North Indian', 'Chinese', 'Kebab']",700,4
Smoke - The Sizzler House                                     ,New BEL Road,"['Continental', 'Italian']",800,4.2
Airlines Hotel                                     ,Lavelle Road,"['South Indian', 'North Indian', 'Street Food']",400,4
Swadista Aahar                                     ,BTM,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",300,4.1
Cafe Happytizing                                     ,Electronic City,"['Cafe', 'Sandwich', 'Pizza', 'North Indian', 'Mexican']",700,4.1
B Bhagat Tarachand                                     ,City Market,"['North Indian', 'Chinese', 'Street Food', 'Beverages']",700,4.2
Lickity Garden                                     ,Frazer Town,"['Continental', 'Mexican', 'Biryani', 'Italian', 'Chinese', 'Arabian', 'Steak']",750,3.7
Keventers                                     ,Indiranagar,"['Beverages', 'Desserts', 'Ice Cream']",400,4
Punjabi Nukkad Pure Veg                                     ,HSR,"['North Indian', 'Chinese', 'Juices']",500,4
Make It Roll                                     ,HSR,"['Rolls', 'Salad', 'Sandwich']",400,3.9
Magnolia                                     ,Koramangala 3rd Block,"['Chinese', 'Thai', 'Asian']",900,4.1
Byblos                                     ,Indiranagar,"['Lebanese', 'Arabian', 'Middle Eastern', 'Salad', 'Beverages']","1,700",4.2
Connie's Restaurant & Steakhouse                                     ,Kammanahalli,"['Steak', 'Continental', 'Burger', 'American', 'BBQ', 'European', 'Salad']","1,500",4.3
Mugful Of Stories                                     ,Kalyan Nagar,"['Desserts', 'Bakery']",300,4.6
Biryani Trip                                     ,Indiranagar,['Biryani'],400,4
Jose's Mess                                     ,BTM,"['Kerala', 'South Indian', 'Biryani']",300,4.3
Indian Kitchen                                     ,"Orion Mall, Malleshwaram","['North Indian', 'Mughlai']","1,500",4.2
Skoolroom                                     ,Ulsoor,"['Cafe', 'Continental', 'Italian', 'Burger', 'Beverages']",700,4.3
Lasagna                                     ,Sahakara Nagar,['Italian'],300,                                         NEW                                     
Deli Chats and Sweets                                     ,Marathahalli,"['Street Food', 'Mithai']",200,4.1
Hotel Navayuga                                     ,Majestic,"['South Indian', 'Biryani']",500,4.1
Garage Food Company                                     ,Koramangala 1st Block,"['Chinese', 'Momos']",400,                                         NEW                                     
Frozen Bottle                                     ,Sarjapur Road,"['Beverages', 'Desserts']",400,                                         NEW                                     
Harima                                     ,Residency Road,['Japanese'],"2,000",4.3
Habibi Falafel                                     ,Koramangala 1st Block,"['Lebanese', 'Middle Eastern']",300,4.3
DinePost9                                     ,Koramangala 1st Block,"['North Indian', 'South Indian', 'Chinese', 'Continental']",450,3.9
Upsouth                                     ,"Orion East, Banaswadi",['South Indian'],300,3.8
Tunday Kababi                                     ,Koramangala 5th Block,"['North Indian', 'Kebab']",500,3.9
Biryani Pot                                     ,BTM,['Biryani'],500,3.8
Litti Twist                                     ,BTM,"['North Indian', 'Bihari']",300,4.2
Noon's                                     ,HSR,['Biryani'],300,4.2
Swathi Deluxe                                     ,Marathahalli,"['North Indian', 'Seafood', 'Chinese', 'Biryani']",750,3.9
Based On A True Story- Bistro                                     ,Kammanahalli,"['Cafe', 'Burger', 'Italian', 'Desserts']",800,4.3
Hatti Punjab Di                                     ,Koramangala 1st Block,"['North Indian', 'Chinese']",400,3.9
7 Days Restaurant                                     ,Electronic City,"['North Indian', 'Chinese', 'Arabian']",400,3.9
Beijing Bites                                     ,Koramangala 5th Block,"['Chinese', 'Thai']",850,4
Kava - Fairfield by Marriott                                     ,"Fairfield by Marriott,Rajajinagar ","['North Indian', 'South Indian', 'Continental']","1,800",4
Agent Jack's Bar                                     ,Kalyan Nagar,"['Continental', 'North Indian', 'Italian']","1,300",4
Firki                                     ,Kalyan Nagar,['North Indian'],850,                                         NEW                                     
Black Deer                                     ,Rajarajeshwari Nagar,"['Beverages', 'Desserts']",350,4.4
The Pancake Story                                     ,Koramangala 1st Block,"['Desserts', 'Beverages']",300,4.6
Chef Kitchen                                     ,New BEL Road,"['North Indian', 'Biryani', 'Charcoal Chicken']",200,3.8
Tibetan Kitchen                                     ,Koramangala 5th Block,"['Tibetan', 'Chinese', 'Continental', 'Momos']",600,4.3
CakeZone                                     ,"Varthur Main Road, Whitefield","['Bakery', 'Desserts']",200,3.9
Blue Terrain - Novotel                                     ,"Novotel Bengaluru, Marathahalli","['Spanish', 'Italian', 'Mediterranean']","2,000",4.2
Talk Over Table Cafe                                     ,HSR,"['Cafe', 'Italian', 'Beverages']",500,3.8
New Shanthi Sagar                                     ,RT Nagar,"['North Indian', 'South Indian', 'Fast Food']",450,3.6
Albert Bakery                                     ,Frazer Town,"['Bakery', 'Fast Food']",150,4.3
Cool Joint                                     ,Jayanagar,"['Beverages', 'Desserts']",250,4.2
Real Fresh Dosa Corner                                     ,Brookefield,['South Indian'],200,4.2
Two Cups And A Story                                     ,HSR,"['Cafe', 'Italian', 'Chinese']",400,                                         NEW                                     
Indish Flavour                                     ,Jeevan Bhima Nagar,"['North Indian', 'Chinese', 'Biryani']",450,                                         NEW                                     
Slay  Coffee                                     ,Koramangala 5th Block,['Cafe'],400,                                         NEW                                     
9th Mile Dhaba - Royal Orchid Resort                                     ,"Royal Orchid Resort, Yelahanka",['North Indian'],"1,200",4.1
Salut                                     ,Jayanagar,"['Continental', 'Finger Food', 'Seafood', 'Pizza']","1,200",4.1
Happy Endings                                     ,Bellandur,"['Bakery', 'Desserts', 'Italian']",500,4.2
Halli Mane                                     ,Malleshwaram,"['South Indian', 'North Indian', 'Chinese']",250,4
New Gongura Grand                                     ,HSR,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",550,3.9
Abhiruchi Restaurant                                     ,Whitefield,"['Biryani', 'Andhra', 'North Indian', 'Chinese']",550,3.7
Fanoos                                     ,Frazer Town,"['Arabian', 'Rolls', 'North Indian', 'BBQ']",400,3.9
Vintage Shack                                     ,HSR,"['North Indian', 'Continental']",900,4
Muddhe Bytes                                     ,Bannerghatta Road,"['South Indian', 'Biryani']",300,3.6
The Grill House                                     ,Ulsoor,"['American', 'Mexican', 'Italian', 'Steak']","1,200",4.1
M Cafe - Bengaluru Marriott Hotel Whitefield                                     ,Bengaluru Marriott Hotel Whitefield,"['North Indian', 'American', 'Italian']","2,500",4.1
Asia Alive - DoubleTree Suites By Hilton                                     ,"DoubleTree Suites By Hilton, Sarjapur Road","['Continental', 'Thai', 'Malaysian', 'Burmese', 'Korean', 'Vietnamese', 'Chinese', 'North Indian']","2,000",4.2
Bootlegger                                     ,Indiranagar,"['Continental', 'Steak']","1,800",4.1
Bottle & Glass                                     ,Indiranagar,"['Continental', 'Chinese', 'Italian']","1,400",4
Podi Idly                                     ,Koramangala 6th Block,['South Indian'],250,4.3
Al Khansah                                     ,Bellandur,"['North Indian', 'Mughlai', 'Biryani', 'Chinese']",600,3.9
Orbis Restaurant                                     ,Brookefield,"['Arabian', 'North Indian', 'Chinese', 'Salad']","1,000",                                         NEW                                     
The Colony Gastropub                                     ,HSR,"['Modern Indian', 'Continental']","1,200",4.1
Swad Punjab Da                                     ,BTM,['North Indian'],150,4.1
Roving Feast                                     ,Banashankari,"['Italian', 'Continental', 'Fast Food', 'Chinese', 'Momos']",450,4
Nandhini Deluxe                                     ,RT Nagar,"['Andhra', 'Chinese', 'North Indian']",800,3.5
Al Manar                                     ,Wilson Garden,"['South Indian', 'North Indian', 'Chinese']",400,                                         NEW                                     
Tarbouche                                     ,Jayanagar,"['Turkish', 'Rolls']",300,                                         NEW                                     
Behrouz Biryani                                     ,RT Nagar,['Biryani'],650,3.9
Kerala Food Club                                     ,Koramangala 8th Block,"['Kerala', 'Seafood', 'Biryani']",400,                                         NEW                                     
The Nosh House                                     ,Sarjapur Road,"['American', 'Italian', 'Bakery', 'Desserts', 'Sandwich', 'Beverages', 'Salad', 'Rolls']",600,4.3
The Marina                                     ,Indiranagar,"['South Indian', 'Seafood', 'North Indian', 'Kerala', 'Continental', 'Chinese', 'Chettinad', 'Arabian']","1,200",4.3
Mimansa @ Foxtrot                                     ,Koramangala 3rd Block,['Cafe'],"1,000",4.4
Murli                                     ,Bellandur,"['North Indian', 'Chinese', 'Street Food', 'Fast Food', 'Mithai']",500,3.9
Beyond Elements                                     ,Whitefield,"['Cafe', 'Italian', 'Pizza', 'North Indian']",900,4.1
Fab Cafe                                     ,Rajarajeshwari Nagar,"['Cafe', 'Fast Food']",550,4.1
Vijayalakshmi                                     ,Basavanagudi,['South Indian'],200,4
Samarkand                                     ,Infantry Road,"['North Indian', 'Mughlai']","1,600",4.1
Hunan                                     ,Koramangala 5th Block,"['Chinese', 'Thai', 'Momos']","1,100",4.3
Mahesh Lunch Home                                     ,Residency Road,"['Seafood', 'Mangalorean', 'North Indian', 'Chinese']","1,400",4.1
Forage                                     ,Indiranagar,"['Healthy Food', 'Beverages', 'European', 'Salad']","1,500",4.2
BYLI - Bet You Love It!                                     ,Kalyan Nagar,"['Continental', 'Italian', 'Mexican', 'Asian']",800,4.2
Ging - Royal Orchid Central                                     ,"Royal Orchid Central, MG Road",['Asian'],"2,000",4.4
Cafe D'hide                                     ,Koramangala 5th Block,"['Cafe', 'American', 'Continental', 'Italian']",600,4.2
Blue Ginger - The Taj West End                                     ,"The Taj West End, Race Course Road",['Vietnamese'],"3,200",4.4
Pita Pit                                     ,Bellandur,"['Healthy Food', 'Salad']",600,3.7
KA53                                     ,Whitefield,"['North Indian', 'Chinese']",300,3.9
Kulhad Junction                                     ,Electronic City,['Cafe'],100,3.6
Mane Ruchi's Palate Restaurant                                     ,Nagarbhavi,"['North Indian', 'Chinese']",450,4
Lassi Corner                                     ,Vijay Nagar,"['Beverages', 'Desserts']",150,                                         NEW                                     
California Burrito                                     ,Bannerghatta Road,"['Mexican', 'Fast Food']",400,4
The ThickShake Factory                                     ,Bellandur,"['Beverages', 'Juices']",350,3.8
Shandys-The Beer Cocktail Hub                                     ,Electronic City,"['North Indian', 'South Indian', 'Chinese', 'Italian']","1,400",3.8
Rigan Restobar                                     ,Kempegowda International Airport,"['Continental', 'Italian', 'South Indian']",800,                                         NEW                                     
Moghul Durbar Restaurant                                     ,Jayanagar,"['North Indian', 'BBQ', 'Kebab', 'Rolls']",550,4
Hotel Abhimani                                     ,KR Puram,"['North Indian', 'South Indian', 'Chinese', 'Andhra']",300,3.7
Slate Cafe                                     ,JP Nagar,"['Cafe', 'Sandwich', 'Burger']",600,4.2
Sri Annapoorneshwari Chats                                     ,Rammurthy Nagar,['Street Food'],100,                                         NEW                                     
O2 Juice Bar                                     ,Marathahalli,"['Juices', 'Fast Food']",200,3.7
Sri Guru Kottureshwara Davangere Benne Dosa                                     ,Basavanagudi,['South Indian'],150,4.1
Sai Abhiruchi                                     ,BTM,"['Andhra', 'North Indian', 'Biryani']",800,3.8
Andhra Ruchulu                                     ,"The President Hotel, Jayanagar","['Andhra', 'Biryani', 'North Indian', 'Chinese']","1,000",4.1
Wanderers                                     ,Kalyan Nagar,"['Continental', 'North Indian', 'South Indian', 'Italian']","1,500",3.9
Sangam Sweets                                     ,HSR,"['Mithai', 'Street Food']",200,3.9
Sangam Sweets                                     ,HSR,"['Mithai', 'Street Food']",200,3.9
Sanky's Burger House                                     ,Hennur,"['Burger', 'Fast Food']",300,4.3
3G's - Gulp & Groove                                     ,Malleshwaram,"['Finger Food', 'Continental', 'Chinese']","1,100",4.1
