rest_name,locality,cuisines,cost_for_two,rating
Al Amanah Cafe                                     ,Kammanahalli,"['Middle Eastern', 'Fast Food', 'Rolls']",300,4.4
Olive Bar And Kitchen                                     ,Richmond Road,"['Mediterranean', 'European', 'Salad']","1,800",4.5
Bombay Brasserie                                     ,Indiranagar,['Modern Indian'],"1,800",4.4
Simon Says Brew Works                                     ,Koramangala 5th Block,"['Continental', 'American', 'Italian', 'Modern Indian', 'Pizza', 'Burger']","1,400",4.5
The Boozy Griffin                                     ,Marathahalli,"['European', 'Continental']","1,800",4.8
Delhi Highway                                     ,Indiranagar,"['North Indian', 'Mughlai']","1,500",4.4
The Fixx                                     ,Koramangala 4th Block,"['Continental', 'South Indian', 'Italian', 'North Indian', 'Chinese']","1,200",4.3
Fenny's Lounge And Kitchen                                     ,Koramangala 7th Block,"['Mediterranean', 'Pizza', 'Continental', 'Seafood', 'Salad']","1,600",4.6
Al Daaz                                     ,HSR,"['North Indian', 'Continental', 'BBQ']",550,4.3
Smoke House Deli                                     ,Indiranagar,"['European', 'Italian', 'Desserts', 'Salad', 'Juices', 'Steak']","1,600",4.6
Soda Bottle Opener Wala                                     ,Lavelle Road,"['Parsi', 'North Indian']","1,300",4.4
Empire Restaurant                                     ,Indiranagar,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",750,4.1
Three Dots & A Dash                                     ,Indiranagar,"['European', 'Continental']","1,300",4.1
Kurtoskalacs                                     ,Koramangala 5th Block,"['Desserts', 'Fast Food']",400,4.6
The Black Rabbit                                     ,"Escape Hotel & Spa, Indiranagar","['Continental', 'Finger Food']","1,500",4.3
Kritunga Restaurant                                     ,Marathahalli,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",650,3.8
Hard Rock Cafe                                     ,St. Marks Road,"['American', 'BBQ']","2,500",4.5
Dyu Art Cafe                                     ,Koramangala 5th Block,"['Cafe', 'Italian', 'Fast Food']",800,4.5
Chulha Chauki Da Dhaba                                     ,Brookefield,['North Indian'],800,4.2
SkyDeck By Sherlock's                                     ,MG Road,"['Continental', 'Chinese', 'Finger Food', 'North Indian']","1,500",4.2
Asia Kitchen By Mainland China                                     ,Koramangala 5th Block,"['Asian', 'Chinese', 'Thai', 'Momos']","1,500",4.9
House Of Commons                                     ,Koramangala 5th Block,"['Continental', 'Asian', 'North Indian']","1,000",4.7
LOFT38                                     ,Indiranagar,"['Italian', 'BBQ', 'Asian', 'Fast Food']","1,900",4.3
ECHOES Koramangala                                     ,Koramangala 5th Block,"['Chinese', 'American', 'Continental', 'Italian', 'North Indian']",750,4.7
Brik Oven                                     ,Church Street,"['Cafe', 'Pizza', 'Beverages']","1,100",4.6
The Pizza Bakery                                     ,Indiranagar,"['Italian', 'Pizza', 'Beverages']","1,200",4.8
Prost Brew Pub                                     ,Koramangala 4th Block,"['American', 'Continental', 'North Indian', 'Salad']","1,800",4.5
Aligarh House                                     ,HSR,"['North Indian', 'Biryani', 'Awadhi', 'Mughlai']",400,4.4
46 Ounces Brewgarden                                     ,Electronic City,"['Bar Food', 'Finger Food', 'Pizza']","1,600",                                         NEW                                     
Dindigul Thalappakatti                                     ,Indiranagar,"['Biryani', 'Chinese', 'North Indian', 'South Indian']",800,4.3
OPUS Club                                     ,"OPUS, Sarjapur Road","['Continental', 'Italian', 'North Indian', 'Mexican']","1,900",4.4
Sidewalk - The Garden Bar                                     ,Marathahalli,"['North Indian', 'Continental', 'Chinese', 'Thai']","1,300",4.4
Cafe Azzure                                     ,MG Road,"['Cafe', 'Continental', 'Italian', 'Burger']","1,200",4.2
Sharief Bhai                                     ,Koramangala 5th Block,"['Mughlai', 'Biryani']",700,4.4
Jalsa Gold                                     ,"D and N Enterprises, Marathahalli","['North Indian', 'Mughlai', 'Italian']","1,300",4.4
Tea Villa Cafe                                     ,Jayanagar,"['Cafe', 'Continental', 'Mediterranean', 'Italian', 'Desserts']",800,4.3
Farzi Cafe                                     ,UB City,['Modern Indian'],"1,500",4.4
Float                                     ,"D and N Enterprises, Marathahalli","['North Indian', 'Japanese']","1,500",4.4
Natural Ice Cream                                     ,Indiranagar,"['Ice Cream', 'Beverages']",200,4.6
NoLimmits Lounge and Club                                     ,Brigade Road,"['Chinese', 'Continental', 'North Indian']","2,000",4.1
CTR                                     ,Malleshwaram,['South Indian'],150,4.7
Pasta Street                                     ,Indiranagar,"['Italian', 'Pizza', 'Salad']","1,300",4.5
Domino's Pizza                                     ,Indiranagar,"['Pizza', 'Fast Food']",400,3
Nagarjuna                                     ,Marathahalli,"['Andhra', 'Biryani']",800,4.2
The Terrace at Gilly's Redefined                                     ,"Gilly's Redefined, Koramangala 4th Block","['Continental', 'Finger Food', 'Asian', 'North Indian']","1,400",4.5
The Bangalore Cafe                                     ,Shanti Nagar,"['Modern Indian', 'North Indian', 'Pizza', 'Continental', 'Beverages']",800,4.2
Kabab Magic                                     ,Jayanagar,"['North Indian', 'Kebab', 'Fast Food']",500,4
Chianti                                     ,Indiranagar,['Italian'],"1,500",4.6
Al-Bek                                     ,Jayanagar,"['North Indian', 'Mughlai', 'Chinese', 'Seafood']",650,4
Taaza Thindi                                     ,Jayanagar,['South Indian'],100,4.9
THE RIG                                     ,Sarjapur Road,"['Continental', 'Finger Food', 'Pizza']","1,500",4.3
Paradise                                     ,Indiranagar,"['Biryani', 'North Indian', 'Kebab']",800,4
The Biere Club                                     ,153 Biere Street,"['Continental', 'BBQ', 'Finger Food']","1,700",4.3
ANTIGRAVITY                                     ,Marathahalli,"['Continental', 'North Indian', 'Chinese', 'BBQ']","1,500",4.5
Santé Spa Cuisine                                     ,Indiranagar,"['Healthy Food', 'Salad', 'Mediterranean']","1,000",4.9
The Bar Stock Exchange                                     ,St. Marks Road,"['Continental', 'Chinese', 'North Indian', 'Finger Food']","1,300",4.2
Double Decker                                     ,Brigade Road,"['Continental', 'North Indian']","1,300",4.3
The Permit Room                                     ,Brigade Road,['South Indian'],"1,500",4.5
Vanilla Sky                                     ,HSR,"['Chinese', 'Continental', 'North Indian', 'Finger Food']","1,200",4.5
KFC                                     ,"More MegaStore, Marathahalli","['Burger', 'Fast Food']",450,3.9
Red Rhino                                     ,Whitefield,"['Continental', 'Mediterranean', 'South Indian', 'North Indian', 'Asian']","1,700",4.4
Ebony                                     ,Barton Centre,"['North Indian', 'South Indian']","1,500",4.3
La Casa Brewery And Kitchen                                     ,Sarjapur Road,"['Finger Food', 'Continental', 'Seafood']","1,500",4.4
Dhaba - Estd 1986 Delhi                                     ,Indiranagar,"['North Indian', 'Mughlai', 'Desserts']","1,500",4.4
Brewsky                                     ,JP Nagar,"['Continental', 'American']","1,600",4.3
Onesta                                     ,Marathahalli,"['Pizza', 'Cafe', 'Italian']",600,4.6
Sly Granny - The Community House                                     ,Indiranagar,"['Modern Indian', 'European', 'American']","2,500",4.5
Bangalore Brew Works                                     ,Residency Road,"['Continental', 'Italian']","1,700",4.3
Buff Buffet Buff                                     ,"BluPetal Hotel, Koramangala","['North Indian', 'Chinese', 'Continental', 'Thai', 'Salad']","1,500",4.5
BOX8- Desi Meals                                     ,HSR,"['North Indian', 'Mughlai', 'Fast Food']",500,4.2
Sotally Tober                                     ,Koramangala 4th Block,"['Asian', 'Burger', 'Pizza', 'Chinese', 'Finger Food']","1,200",4.4
BTDT? Been There Done That                                     ,Indiranagar,"['European', 'Continental', 'Asian', 'Finger Food']","1,300",4.2
55 Wall Street                                     ,JP Nagar,"['Finger Food', 'North Indian', 'Chinese']","1,300",3.9
Hyderabad Biryaani House                                     ,Richmond Road,"['Biryani', 'North Indian', 'Chinese']",700,4.2
Crawl Street                                     ,Koramangala 5th Block,"['Continental', 'Finger Food', 'North Indian', 'Chinese']","1,200",4.2
Smoor                                     ,Indiranagar,"['Desserts', 'Cafe', 'Beverages']",900,4.6
Zee5 Loft                                     ,HSR,"['Cafe', 'Burger', 'Pizza', 'Sandwich']",700,4.4
Grasshopper                                     ,Bannerghatta Road,['European'],"5,000",4.3
Monkey Bar                                     ,Indiranagar,"['American', 'Asian', 'European', 'North Indian']","1,400",4.2
MISU                                     ,St. Marks Road,"['Asian', 'Japanese', 'Korean', 'Indonesian', 'Malaysian', 'Singaporean']","1,700",4.5
The Big Barbeque                                     ,Electronic City,"['BBQ', 'North Indian', 'Continental', 'Chinese']","1,500",4.7
Toast & Tonic                                     ,Richmond Road,"['European', 'Asian']","1,500",4.6
Inntense Restobar                                     ,Indiranagar,"['Finger Food', 'Continental', 'North Indian', 'Fast Food']","1,600",                                         NEW                                     
Rajdhani Thali Restaurant                                     ,Indiranagar,['North Indian'],"1,000",4
1131 Bar + Kitchen                                     ,Indiranagar,"['Continental', 'Asian', 'Italian', 'North Indian']","1,500",4.5
Fire Station                                     ,Electronic City,"['Continental', 'Mexican', 'Burger', 'Desserts', 'Italian', 'Pizza', 'North Indian', 'Chinese']","1,200",4.5
Shiro                                     ,UB City,"['Japanese', 'Asian']","3,000",4.4
alt                                     ,"Waverly, Whitefield",['Finger Food'],"1,900",4.1
HQ                                     ,Whitefield,"['North Indian', 'Italian', 'Finger Food', 'Continental']","1,000",4.1
Hangover                                     ,HSR,"['Asian', 'Continental', 'Finger Food']","1,500",4.3
Shanmukha                                     ,Jayanagar,"['Biryani', 'Andhra', 'North Indian', 'Chinese']",800,4.4
Ciclo Cafe                                     ,Indiranagar,"['Cafe', 'Italian', 'American']","1,000",4.3
Yauatcha                                     ,"1 MG Road Mall, MG Road","['Chinese', 'Asian', 'Cantonese', 'Tea']","2,800",4.6
Deja Vu Resto Bar                                     ,"Gopalan Innovation Mall, Bannerghatta","['North Indian', 'Italian']",900,4.4
