rest_name,locality,cost_for_two,rating,votes,cuisines
Bangalore Agarwal Bhavan,Jayanagar,400,3.9,139,"['Street Food', 'North Indian', 'South Indian']"
Treat,Indiranagar,800,3.9,553,"['North Indian', 'Mughlai']"
Creme Bliss,HBR Layout,350,3.9,50,"['Bakery', 'Desserts']"
Plantain Leaf,Thippasandra,600,3.9,532,"['Andhra', 'Chinese', 'North Indian', 'Biryani']"
Mayura Restaurant,Peenya,500,3.9,87,"['Andhra', 'Chinese', 'North Indian']"
Al Sadique,Magadi Road,450,3.9,187,"['North Indian', 'Mughlai', 'Chinese', 'Rolls']"
Chungs Pavilion,Indiranagar,700,3.9,250,['Chinese']
Library Bar - The Leela Palace,"The Leela Palace, Old Airport Road","3,000",3.9,109,['Finger Food']
Chatori Tongue,Sarjapur Road,100,3.9,65,['Street Food']
Punjab Beat,Whitefield,700,3.9,86,['North Indian']
Hotel Malnad Natti Style,Nagarbhavi,500,3.9,24,"['South Indian', 'Mangalorean', 'Seafood']"
Cup Chronicles Cafe,Indiranagar,450,3.9,62,"['Continental', 'Desserts', 'Beverages']"
Shri Udupi Cafe,New BEL Road,300,3.9,33,"['South Indian', 'North Indian', 'Mughlai', 'Chinese', 'Street Food', 'Beverages']"
Wok N Roll,Nagawara,400,3.9,90,"['Chinese', 'Momos']"
Red Dragon Restaurant,RT Nagar,600,3.9,147,['Chinese']
Tea Samskruthi,Malleshwaram,200,3.9,18,['Cafe']
KA53,Whitefield,300,3.9,57,"['Biryani', 'North Indian', 'Chinese']"
Absolute Waffles,New BEL Road,200,3.9,49,"['Desserts', 'Fast Food']"
Parika Multicuisine & Coastal Fine Dine,HSR,"1,000",3.9,615,"['Mangalorean', 'Seafood', 'North Indian', 'Chinese']"
Hungree Belly,Kaggadasapura,800,3.9,634,"['Continental', 'North Indian', 'Chinese', 'Bengali']"
Jaffa's Biryani,Marathahalli,650,3.9,451,"['Biryani', 'North Indian', 'Chinese']"
Saahib,HSR,300,3.9,89,"['Fast Food', 'Rolls']"
Zayka,Bellandur,400,3.9,63,"['North Indian', 'Chinese']"
Choi Choi Momos,Brigade Road,300,3.9,35,"['Chinese', 'Fast Food', 'Momos']"
Yes Yes Hotel,KR Puram,400,3.9,198,"['North Indian', 'Chinese', 'Biryani']"
Jingo BBQ & Burgers,Kammanahalli,600,3.9,43,"['Burger', 'BBQ']"
Murli,Bellandur,500,3.9,1248,"['North Indian', 'Chinese', 'Street Food', 'Fast Food', 'Mithai']"
The Local - Burger Bar,Koramangala 6th Block,"1,500",3.9,155,"['American', 'Pizza', 'Burger']"
55 Wall Street,JP Nagar,"1,300",3.9,1859,"['Finger Food', 'North Indian', 'Chinese']"
Odia Dine,Old Airport Road,400,3.9,58,"['Oriya', 'North Indian']"
Rahhams,Frazer Town,700,3.9,862,"['Mughlai', 'North Indian', 'Chinese']"
I A' m Hangry,"Global Village, Mysore Road",400,3.9,88,"['Bengali', 'North Indian', 'Chinese']"
Sri Saravana Bhavan,Commercial Street,150,3.9,77,['South Indian']
Tawa Tandoor,New BEL Road,700,3.9,127,"['North Indian', 'Chinese']"
La Madeleine Patisserie,Indiranagar,200,3.9,71,['Bakery']
Quick Bites Food Junction,Sarjapur Road,300,3.8,31,"['North Indian', 'Chinese', 'Bengali']"
Jalaram Sweets,Jayanagar,250,3.8,32,"['Desserts', 'Mithai']"
RoadHouse Grill,Whitefield,450,3.8,99,"['North Indian', 'Fast Food', 'Burger', 'BBQ']"
Fresh Aahar,Indiranagar,400,3.8,45,"['Biryani', 'Mangalorean', 'Kerala']"
Kudil Kerala Kitchen,Marathahalli,300,3.8,49,['Kerala']
The Gluten Free Baking Co.,Banaswadi,400,3.8,43,['Bakery']
Uttar Karnataka Meals Restaurant,Jayanagar,200,3.8,27,['South Indian']
de Ranthal,HSR,300,3.8,42,['Kerala']
Izakaya Gastro Pub,Whitefield,"1,200",3.8,128,"['North Indian', 'Continental', 'Mediterranean']"
Chat Wala,Jayanagar,150,3.8,31,['Street Food']
The Story Wall Bistro,Banaswadi,600,3.8,20,"['Italian', 'Continental']"
The Alphaa,Bommanahalli,550,3.8,279,"['Andhra', 'North Indian', 'Chinese', 'Biryani', 'Seafood']"
Sri Ganesh Juice Junction,Koramangala 8th Block,150,3.8,225,"['Beverages', 'Juices', 'Fast Food']"
Oye Hoye,Kalyan Nagar,300,3.8,69,['North Indian']
Strikers Sports Bar and Music,Shanti Nagar,"1,200",3.8,73,"['Continental', 'North Indian', 'Chinese']"
Vybhava,Jayanagar,300,3.8,40,"['South Indian', 'North Indian', 'Chinese']"
Recipe Box,Electronic City,400,3.8,59,"['Chinese', 'Beverages']"
Hongkong Noodles,Rammurthy Nagar,750,3.8,175,['Chinese']
New Udupi Upahar,Marathahalli,300,3.8,41,"['Chinese', 'North Indian', 'South Indian']"
Cafe Graffiters,Koramangala 5th Block,600,3.8,23,"['Cafe', 'Continental', 'Beverages']"
Bon Baker,Whitefield,"1,000",3.8,20,['Desserts']
The Salad Studio,Bellandur,400,3.8,19,"['Cafe', 'Healthy Food', 'Salad']"
Ocean,Koramangala 6th Block,700,3.8,215,"['Mexican', 'Continental', 'Italian', 'Chinese']"
JS Food Court,Kammanahalli,400,3.8,134,"['Fast Food', 'Juices']"
Hind Ka Chulah,"Royal Meenakshi Mall, Bannerghatta Road",600,3.8,182,"['North Indian', 'Biryani']"
Mangalore Pearl,Jayanagar,650,3.8,248,"['Mangalorean', 'Seafood', 'Chinese', 'Biryani']"
Hotel Junior Kuppanna,Uttarahalli,500,3.8,42,"['Chettinad', 'South Indian']"
Guru Greens,Bannerghatta Road,550,3.8,89,"['North Indian', 'Chinese']"
Sri Ganesh Darshan,Sanjay Nagar,250,3.8,36,"['South Indian', 'North Indian', 'Chinese']"
The Happy Vegetarian,Vijay Nagar,500,3.8,216,"['North Indian', 'Chinese']"
As On Fire,HSR,400,3.8,174,"['Pizza', 'Fast Food', 'BBQ']"
Salaam Sigri Rolls & Kebabs,New BEL Road,300,3.8,162,"['Rolls', 'Mughlai']"
Jain's Thatte Idli,Yelahanka,150,3.8,163,['South Indian']
Kolkata Famous Kati Rolls,Marathahalli,100,3.8,61,"['Fast Food', 'Rolls']"
Udupi Gokul Cafe,BTM,300,3.8,58,['South Indian']
RAW Pressery,Indiranagar,300,3.8,21,['Juices']
Swadheshi Dining,Nagarbhavi,700,3.8,379,"['North Indian', 'Chinese', 'Fast Food']"
Kolkata Famous Kati Rolls,Hennur,100,3.8,55,"['Fast Food', 'Rolls']"
Desi Doze,Whitefield,400,3.8,147,"['North Indian', 'Fast Food']"
Samrat Regency Bar And Restaurant,Koramangala 6th Block,800,3.8,30,"['North Indian', 'Chinese']"
Nutri Rich,Koramangala 7th Block,350,3.8,52,['Healthy Food']
Unlock - The Restobar - Keys Select Hotel,Keys Hotel - Electronic City,"1,200",3.8,28,['Japanese']
Restro Cafe,Jayanagar,400,3.8,30,['Cafe']
Story Time,Bellandur,500,3.8,18,"['North Indian', 'South Indian', 'Andhra', 'Cafe']"
Peat & Fire,JP Nagar,700,3.8,37,"['North Indian', 'Maharashtrian']"
Rolling Waffles,Basaveshwara Nagar,250,3.8,35,['Desserts']
Arusuvai D' Kitchen,KR Puram,350,3.8,26,"['South Indian', 'Biryani', 'Chettinad', 'Juices']"
Shimmer - Taj Yeshwantpur,Taj Yeshwantpur,"1,500",3.8,62,"['Chinese', 'Japanese']"
Rajasthani Sweets & Snacks,Kanakapura Road,100,3.8,37,"['North Indian', 'Street Food']"
Biryani Day,Rajajinagar,400,3.8,217,"['Biryani', 'Kebab']"
D-Zaprino,Yelahanka,400,3.8,366,"['Fast Food', 'Pizza']"
Upahara Bhavan,Bannerghatta Road,300,3.8,61,"['South Indian', 'North Indian', 'Chinese']"
Havyaka Mess,Banashankari,300,3.8,28,['South Indian']
Mama Mimi Momo,Rajarajeshwari Nagar,150,3.8,55,"['Tibetan', 'Momos']"
Shreedevi,Indiranagar,600,3.8,131,"['North Indian', 'Chinese']"
Hotel Karavali Fish Palace,Rajajinagar,400,3.8,21,"['Seafood', 'South Indian', 'Chinese']"
Biryani Mandra,Koramangala 1st Block,500,3.8,70,"['Seafood', 'Salad', 'North Indian', 'Biryani', 'Chinese']"
King Kong,Frazer Town,300,3.8,64,"['Chinese', 'Momos']"
Chowmein,Basaveshwara Nagar,800,3.8,285,"['Chinese', 'North Indian', 'Momos', 'Biryani']"
Cafe Olive,Bellandur,550,3.8,114,"['Cafe', 'European', 'Beverages', 'Italian']"
Durga Chats,Vijay Nagar,100,3.8,25,['Street Food']
Kudla - Coraltree,"Coraltree, RT Nagar","1,200",3.8,283,"['Seafood', 'Mangalorean']"
Udupi Sri Krishna Cafe,Banaswadi,200,3.8,22,"['South Indian', 'North Indian']"
GFC Biryani,Rajarajeshwari Nagar,300,3.8,103,['Biryani']
Sufi Restaurant & Cafe,Banaswadi,800,3.8,108,"['Iranian', 'Mughlai', 'Chinese']"
Freshies Gourmet Salads,HSR,350,3.8,19,"['Salad', 'Healthy Food']"
Chai & Kadi,Indiranagar,200,3.8,36,['South Indian']
Laziz Pizza,Koramangala 7th Block,400,3.8,61,"['Fast Food', 'Pizza']"
Sri Rama Vilas Sweets,Majestic,150,3.8,31,['Mithai']
Ice Treat,HSR,200,3.8,45,"['Juices', 'Ice Cream']"
Flow - Terrace Bar & Grill,JP Nagar,"1,000",3.8,82,"['Pizza', 'Continental', 'North Indian', 'Chinese']"
Paakashala,Rajarajeshwari Nagar,"1,000",3.8,728,"['North Indian', 'Chinese']"
Amchoor,Marathahalli,250,3.8,41,"['North Indian', 'Beverages']"
The Krishna Grand,New BEL Road,400,3.8,24,"['North Indian', 'South Indian']"
Sagar Grand,Bannerghatta Road,300,3.8,37,"['South Indian', 'North Indian', 'Chinese']"
Waffle Talesz,Sarjapur Road,200,3.8,39,['Desserts']
Viceroy's Sarathi,Indiranagar,750,3.8,141,"['North Indian', 'Chinese', 'Mughlai']"
Cafe Cerrise,Ulsoor,600,3.8,99,"['Cafe', 'Continental', 'Salad']"
Afghani Tandoori Hub,BTM,400,3.8,19,"['Arabian', 'Afghan']"
Big Mishra's Jowar Roti meals,Peenya,300,3.8,37,['South Indian']
Imperial Restaurant,Marathahalli,700,3.8,500,"['Biryani', 'Mughlai', 'Chinese', 'Arabian']"
Waah Biryani,JP Nagar,350,3.8,119,"['North Indian', 'Chinese', 'Biryani']"
Wok With Chung,Marathahalli,"1,000",3.8,691,"['Chinese', 'Thai']"
Momo Corner,Old Airport Road,150,3.8,23,"['Fast Food', 'Momos']"
Hari Burger Corner,Jayanagar,200,3.8,48,['Fast Food']
Satkar Restaurant,Electronic City,350,3.8,79,"['North Indian', 'Chinese', 'Biryani', 'Seafood']"
La Grande Cafe,Jayanagar,400,3.8,47,['Cafe']
Patels Inn,RT Nagar,750,3.8,51,"['North Indian', 'Chinese']"
World on a Swirl,Bannerghatta Road,300,3.8,46,"['Ice Cream', 'Desserts', 'Rolls']"
Alter Ego D'Deli,Kalyan Nagar,650,3.8,141,"['Cafe', 'Continental', 'Italian', 'Burger', 'Pizza', 'Salad', 'Steak']"
Biryani Pot,BTM,500,3.8,1104,['Biryani']
Vandhana Gardenia,Yelahanka,600,3.8,244,"['Chinese', 'North Indian', 'Biryani']"
Jambudweepa Juice Bar,Banaswadi,150,3.8,25,"['Beverages', 'Healthy Food']"
Yummy Biryani,Koramangala 7th Block,200,3.8,43,['Biryani']
Shahi Taj,Jalahalli,700,3.8,42,"['North Indian', 'Chinese']"
Punjabi Chulha,Koramangala 1st Block,500,3.8,38,['North Indian']
Italia - The Park Bangalore,"The Park, MG Road","2,500",3.8,84,['Italian']
Vindu Andhra Ruchulu,Jayanagar,800,3.8,283,"['Biryani', 'North Indian', 'Andhra']"
Fusion Tadka,Bellandur,450,3.8,36,"['North Indian', 'Chinese', 'Rajasthani']"
Maharaja Darbar,Rammurthy Nagar,800,3.8,28,['North Indian']
Chicken Man,JP Nagar,400,3.8,71,"['Roast Chicken', 'Burger']"
Coffee@Arens,Banaswadi,550,3.8,78,"['Cafe', 'Fast Food']"
MAD Belgian Waffles,Electronic City,250,3.8,14,['Desserts']
Soul City,Oakwood Premier Prestige,"2,000",3.8,217,"['Italian', 'Chinese', 'Continental', 'North Indian', 'Seafood', 'Thai']"
Namak Swad Anusaar,Marathahalli,400,3.8,157,"['North Indian', 'Chinese', 'Biryani', 'Rolls']"
Shree Vishnu Thatte Idli,Domlur,40,3.8,36,['South Indian']
Bearful,Sarjapur Road,"1,000",3.8,183,"['Continental', 'North Indian', 'Chinese', 'Pizza']"
"Malnad Blossom, Coffee & Cream",JP Nagar,300,3.8,34,['Cafe']
Dhabeliwala,JP Nagar,250,3.8,45,"['Street Food', 'Beverages', 'Gujarati']"
Twins,Kammanahalli,500,3.8,139,"['North Indian', 'Chinese', 'Continental']"
Ranganatha Veg,Mysore Road,100,3.8,48,['South Indian']
Jodhpur Sweets,Electronic City,100,3.8,30,"['Desserts', 'Street Food']"
FreshPhulka,HSR,150,3.8,24,['North Indian']
Hunan Express,"VR Bengaluru, Whitefield",550,3.8,73,['Chinese']
FreshMenu,Indiranagar,450,3.8,1101,"['Continental', 'Asian', 'Healthy Food', 'Burger', 'Biryani', 'Pizza', 'Italian', 'Fast Food']"
Tasty Bites,JP Nagar,450,3.8,218,['North Indian']
Despiwich Dragon's Kitchen,Banaswadi,250,3.8,72,"['Chinese', 'Fast Food']"
Cafe Alchemist,BTM,300,3.8,62,"['Fast Food', 'Juices']"
Royal Bengal Corner,Electronic City,250,3.8,310,"['Chinese', 'Fast Food', 'North Indian', 'Rolls']"
Embers - Nandhana Grand Hotel,Koramangala 6th Block,900,3.8,39,"['North Indian', 'South Indian', 'Thai', 'Chinese', 'Continental']"
Not Just Parathas,Kaggadasapura,500,3.8,171,"['North Indian', 'Chinese']"
Biriyani Section,Whitefield,300,3.8,29,"['Biryani', 'North Indian']"
Mother's Rasoi,Bannerghatta Road,250,3.8,172,"['North Indian', 'Chinese', 'Momos']"
Bharathi Refreshments,Wilson Garden,150,3.8,51,['South Indian']
Lassi Shop,Vasanth Nagar,100,3.8,27,"['Beverages', 'Juices']"
Ozaa,Oakwood Premier Prestige,"1,700",3.8,35,"['Mediterranean', 'American', 'Asian']"
Cafe D'Costa,Frazer Town,200,3.8,41,['Bakery']
Indus Family Restaurant,BTM,600,3.8,117,"['North Indian', 'Biryani', 'Chinese']"
Venad Kitchen,Kaggadasapura,300,3.8,94,['Kerala']
Firangi Rasoi,Kanakapura Road,500,3.8,175,"['Italian', 'Burger', 'Pizza', 'Continental']"
Adarsha Hotel,Kengeri,400,3.8,32,"['North Indian', 'South Indian', 'Chinese']"
Chai World,Sarjapur Road,300,3.8,22,"['Tea', 'Beverages', 'Sandwich', 'Fast Food']"
Meeraa's Beegara Oota,HSR,600,3.8,259,"['South Indian', 'Biryani']"
Pingara,Koramangala 1st Block,700,3.8,95,"['North Indian', 'Chinese', 'Mangalorean']"
Donne Biriyani House,HSR,200,3.8,279,['Biryani']
Artville Cafe,Kalyan Nagar,700,3.8,93,['Cafe']
Juicy,Electronic City,200,3.8,22,"['Beverages', 'Juices', 'Fast Food']"
Saladtimes,Yeshwantpur,500,3.8,29,"['Healthy Food', 'Fast Food']"
Mota Bawarchi,Indiranagar,500,3.8,56,"['North Indian', 'Fast Food']"
Mojo Bites,Whitefield,250,3.8,23,['Fast Food']
Roll N Roll,Nagawara,200,3.8,62,"['Fast Food', 'Rolls']"
Dum Biryani Hub,BTM,700,3.8,75,['Biryani']
Magix's Parattha Roll,BTM,400,3.8,191,"['Fast Food', 'North Indian', 'Chinese', 'Mughlai', 'Rolls']"
Southinn,HSR,250,3.8,191,"['South Indian', 'Fast Food', 'Chinese', 'North Indian', 'Street Food']"
Keys Cafe - Keys Select Hotel,Keys Hotel - Electronic City,"1,200",3.8,115,"['Chinese', 'Continental', 'North Indian', 'Sandwich']"
Royal Indraprastha,Rajarajeshwari Nagar,500,3.8,45,"['South Indian', 'North Indian', 'Chinese']"
The Coffee Bean & Tea Leaf,"1 MG Road Mall, MG Road",700,3.8,264,['Cafe']
Gowdru Military Hotel,Nagarbhavi,400,3.8,97,"['Biryani', 'Fast Food']"
Patefull,Nagarbhavi,300,3.8,170,"['North Indian', 'Chinese', 'Rolls']"
Appam & Curry,Koramangala 1st Block,200,3.8,19,"['Kerala', 'South Indian']"
The Big Spoon,Whitefield,750,3.8,46,"['North Indian', 'Mughlai']"
Hotel Abhimani,KR Puram,300,3.8,42,"['North Indian', 'South Indian', 'Chinese', 'Andhra']"
Aashish Foods,Marathahalli,150,3.8,35,['North Indian']
Balaji Bombay Vada Pav Gujrati Dalebi,JP Nagar,150,3.8,40,"['Street Food', 'Sandwich']"
The Table,Indiranagar,400,3.8,43,"['Bakery', 'Desserts']"
The Chocolate Heaven - Cakes,Kalyan Nagar,600,3.8,70,"['Desserts', 'Bakery', 'Beverages']"
7 Wonders Lounge,Nagarbhavi,"1,000",3.8,36,"['North Indian', 'South Indian', 'Continental', 'Italian']"
Theeram Restaurant,Sarjapur Road,400,3.8,47,"['North Indian', 'Kerala']"
Desserts Tree,Koramangala 1st Block,100,3.8,88,"['Mithai', 'Desserts']"
Watheen Multi Cuisine Restaurant,KR Puram,400,3.8,63,"['North Indian', 'Chinese', 'Biryani']"
Danapani,JP Nagar,500,3.8,60,"['North Indian', 'South Indian', 'Chinese']"
Ruchis Point,Banashankari,200,3.8,76,"['Fast Food', 'Chinese']"
Bakers Town,Kumaraswamy Layout,600,3.8,78,"['Cafe', 'Continental', 'Fast Food']"
Tewari Bros Mithai Shoppie,Commercial Street,300,3.8,59,"['Fast Food', 'Mithai']"
Chawla's 2 Online.com,Frazer Town,800,3.8,23,['North Indian']
Cafe Iftar,Frazer Town,200,3.8,21,"['Fast Food', 'Street Food']"
Sri Udupi Deluxe,Kaggadasapura,300,3.8,35,"['South Indian', 'North Indian', 'Chinese']"
Spice Cove - I.V Sanctum,Majestic,750,3.8,91,"['North Indian', 'South Indian', 'Continental', 'Asian']"
Retro Lounge Bar,Ulsoor,"1,400",3.8,110,"['North Indian', 'Chinese']"
Maa Tara Hotel,Electronic City,400,3.8,52,"['Chinese', 'North Indian']"
Hotel Chandrika,Cunningham Road,400,3.8,210,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
Madurai Idly Shop,Koramangala 6th Block,200,3.8,473,['South Indian']
Kettle & Kegs,RT Nagar,200,3.8,20,"['Tea', 'Beverages']"
Amrutha Restaurant,Nagawara,500,3.8,99,"['North Indian', 'Biryani', 'Chinese']"
Chai Chowk,Koramangala 7th Block,200,3.8,82,"['Chinese', 'Fast Food']"
Roadhouse Kafe,Hennur,400,3.8,39,"['Fast Food', 'Burger']"
Healthy Sapiens,Frazer Town,300,3.8,24,"['American', 'European', 'Healthy Food']"
New Udupi Veg,Yelahanka,200,3.8,23,"['North Indian', 'South Indian', 'Chinese']"
Vinaya Coffee Moments,JP Nagar,450,3.8,59,"['Cafe', 'Fast Food', 'Beverages']"
Warm Oven,Kaggadasapura,500,3.8,53,"['Bakery', 'Desserts']"
New South Corner,BTM,300,3.8,21,"['South Indian', 'North Indian', 'Chinese']"
Odisha Platter,Marathahalli,350,3.8,299,['Oriya']
Chaat Trail By Moti Mahal,HSR,300,3.8,53,"['Street Food', 'Beverages', 'South Indian', 'North Indian', 'Ice Cream', 'Mithai', 'Rajasthani']"
The Biryanis,Jeevan Bhima Nagar,500,3.8,431,"['Andhra', 'Biryani', 'North Indian']"
New Friends,BTM,900,3.8,274,"['North Indian', 'Continental', 'Chinese', 'Steak']"
Cafe Mist,JP Nagar,500,3.8,187,"['Cafe', 'American', 'Continental', 'Italian']"
Juice Berg,Brookefield,150,3.8,44,"['Beverages', 'Fast Food']"
Just Delhiwala,Bellandur,300,3.8,82,['North Indian']
Sri Vishnu Grand,Sarjapur Road,400,3.8,139,"['South Indian', 'North Indian', 'Chinese']"
Sonar Bangala,Koramangala 5th Block,500,3.8,79,"['Bengali', 'North Indian']"
Lassi Corner,Marathahalli,200,3.8,72,"['Beverages', 'Juices', 'Ice Cream', 'Fast Food', 'Sandwich']"
Bademiyan Kebabs,"Orion Mall, Malleshwaram",600,3.8,86,"['Kebab', 'Hyderabadi', 'Biryani', 'Charcoal Chicken']"
Harshi Super Sandwich,Basavanagudi,150,3.8,150,"['Fast Food', 'Street Food']"
Health Zingo,Bellandur,600,3.8,373,"['North Indian', 'Salad', 'Healthy Food']"
Zabi,HBR Layout,300,3.8,173,['Biryani']
The Place Behind Desserted,Vasanth Nagar,650,3.8,47,"['North Indian', 'Andhra', 'Fast Food']"
One Nation BBQ,Yelahanka,400,3.8,74,"['North Indian', 'Chinese']"
Begin with us....Tea Time Cafe,Koramangala 7th Block,300,3.8,40,"['Beverages', 'Fast Food', 'Tea']"
TBC - The Breakfast Company,Marathahalli,150,3.8,27,"['Bihari', 'North Indian', 'South Indian']"
Head O State,Indiranagar,"1,000",3.8,200,"['Continental', 'Chinese', 'North Indian']"
Currylicious,Jakkur,500,3.8,104,"['South Indian', 'Mangalorean', 'Kerala']"
Ice Thunder,Basavanagudi,300,3.8,126,"['South Indian', 'Fast Food', 'North Indian', 'Desserts']"
The Chef's Kitchen,Kalyan Nagar,800,3.8,324,"['Continental', 'North Indian', 'Chinese']"
The Donut Baker,"Forum Mall, Koramangala",150,3.8,62,['Desserts']
Bon Appetit Resto,New BEL Road,300,3.8,52,"['North Indian', 'Chinese']"
Konaseema Kitchen,Marathahalli,600,3.8,594,"['North Indian', 'Biryani', 'Andhra', 'South Indian']"
Froststicks,"Orion Mall, Malleshwaram",150,3.8,45,"['Desserts', 'Ice Cream']"
The Lassi and Juice Park,Banashankari,150,3.8,29,"['Juices', 'Desserts']"
Kumarakom,HSR,600,3.8,1175,"['Kerala', 'Seafood', 'South Indian', 'North Indian', 'Chinese']"
Ovenstory Pizza,RT Nagar,800,3.8,49,['Pizza']
Tisano Cafe,Bannerghatta Road,500,3.8,56,"['Cafe', 'Fast Food', 'Chinese', 'Continental']"
Hotel Tanish,HSR,250,3.8,16,['South Indian']
New Shanthi Upahar,Jayanagar,200,3.8,58,['South Indian']
SLV Swadishta,Banashankari,300,3.8,192,['South Indian']
Chickpet Donne Biryani House,Marathahalli,600,3.8,91,"['Biryani', 'South Indian', 'Fast Food']"
Manjushree Upahara,Bannerghatta Road,150,3.8,36,['South Indian']
Salt Pepper - Cafe Resto,Hebbal,600,3.8,26,"['American', 'Italian', 'Ice Cream']"
Kor Cafe,Koramangala 1st Block,250,3.8,36,['Kerala']
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,"1,000",3.8,193,"['Finger Food', 'North Indian', 'Continental', 'Pizza']"
Cibo Esca,Vijay Nagar,"1,000",3.8,819,"['South Indian', 'Chinese', 'North Indian', 'Continental']"
Ayodhya Grand,Nagarbhavi,500,3.8,65,"['North Indian', 'South Indian', 'Chinese']"
Dolphin Bar,Frazer Town,"1,000",3.8,62,"['Chinese', 'Finger Food', 'North Indian', 'Seafood']"
Just Homely,Electronic City,300,3.8,51,['North Indian']
Coco Grove Beer Cafe,Church Street,800,3.8,152,['Continental']
Infinity - The Zuri,The Zuri Hotels,"2,700",3.8,67,"['North Indian', 'Continental', 'Chinese']"
NISO Chinese Restaurant,KR Puram,350,3.8,35,"['Chinese', 'Momos']"
La Estranger Cafe,HSR,500,3.8,52,"['Cafe', 'Burger', 'Sandwich', 'Beverages']"
Nueva Premium Cafe,Mysore Road,500,3.8,22,"['Continental', 'Italian', 'Cafe']"
Urban Flavours,"Attide Hotel, Jakkur","1,000",3.8,131,"['North Indian', 'South Indian', 'Continental']"
Donne Biriyani Mane,Indiranagar,350,3.8,156,"['Biryani', 'Mughlai']"
Food Magic Restaurant,Kalyan Nagar,400,3.8,88,"['Kerala', 'North Indian', 'Chinese', 'Arabian']"
Xian,"Skywalk, Ulsoor",800,3.8,81,"['Chinese', 'Thai']"
Hotel Manu Residency,Whitefield,550,3.8,201,"['Andhra', 'North Indian', 'Chinese', 'Biryani']"
Kim Lee Restaurant,Indiranagar,650,3.8,264,"['Chinese', 'Momos']"
Zodiac - Fortune Select JP Cosmos Hotel,Fortune Select JP Cosmos Hotel,"1,800",3.8,91,"['North Indian', 'South Indian', 'Chinese', 'Continental']"
Cake House - Story Cafe,Kalyan Nagar,650,3.8,79,"['Bakery', 'Desserts']"
Sunny Side Bistro,Frazer Town,700,3.8,365,"['Cafe', 'Continental']"
NutBerry,HSR,150,3.8,36,"['Beverages', 'Desserts', 'Fast Food']"
Eatsomnia,JP Nagar,500,3.8,17,"['North Indian', 'South Indian', 'Chinese', 'Continental']"
Singh Saab Dhaba,Malleshwaram,400,3.8,21,"['Fast Food', 'North Indian']"
OMY Grill,HSR,300,3.8,35,"['Biryani', 'Rolls', 'Fast Food', 'North Indian']"
Lassi Cafe,HSR,300,3.8,45,"['Beverages', 'Street Food', 'North Indian']"
The Lobby Brew - Conrad Bengaluru,"Conrad Bengaluru, Ulsoor","2,200",3.8,25,"['Cafe', 'North Indian', 'Fast Food']"
Cafe P Square,Kalyan Nagar,250,3.8,27,"['Street Food', 'Beverages', 'Fast Food']"
Darjeeling Momos & Fast Food Center,Bannerghatta Road,250,3.8,39,"['Fast Food', 'Momos']"
King Fish,Nagarbhavi,500,3.8,37,"['Seafood', 'South Indian']"
Desi Dawat,Kumaraswamy Layout,450,3.8,253,"['North Indian', 'Chinese']"
The Eatery Cafe & Restaurant,Marathahalli,800,3.8,60,['Fast Food']
Dil Se Dilli,Whitefield,700,3.8,282,"['North Indian', 'Mughlai']"
Cafe Vivacity,Banashankari,650,3.8,92,['Cafe']
Park View Restaurant,Vijay Nagar,600,3.8,128,"['North Indian', 'Chinese', 'Continental']"
Bikaner Sweets,Sahakara Nagar,150,3.8,64,"['Mithai', 'Street Food']"
Hang10 Resto N Cafe,BTM,800,3.8,102,"['North Indian', 'Chinese', 'Beverages']"
Gowda's Biriyani Corner,Vijay Nagar,250,3.8,95,"['North Indian', 'South Indian', 'Biryani']"
i-Bar - The Park Bangalore,"The Park, MG Road","3,000",3.8,632,"['North Indian', 'Chinese', 'Mediterranean']"
Rolling Waffles,Basaveshwara Nagar,250,3.8,35,['Desserts']
Ambara Gardenia,Bannerghatta Road,800,3.8,257,"['Andhra', 'North Indian', 'Chinese', 'Seafood']"
Priya Juice & Snacks,HSR,200,3.8,84,"['Beverages', 'Juices']"
Roti Shotti,Jeevan Bhima Nagar,400,3.8,63,['North Indian']
Lounge 189,HSR,"1,300",3.8,159,"['Continental', 'Italian']"
Capsicum Family Restaurant,BTM,800,3.8,261,"['Biryani', 'North Indian']"
Kritunga Restaurant,Marathahalli,650,3.8,2016,"['Andhra', 'Biryani', 'North Indian', 'Chinese']"
The Bridge Walk Cafe,Kengeri,500,3.8,75,"['Cafe', 'Continental']"
Happy Belly Restaurant,Hennur,500,3.8,82,"['Chinese', 'Thai']"
Bridgeway,Mysore Road,600,3.8,102,"['North Indian', 'Chinese']"
Chill,Radha Hometel,800,3.8,45,"['North Indian', 'Chinese', 'Continental']"
Biryani Express,Whitefield,600,3.8,72,"['Biryani', 'North Indian']"
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Eden Park Restaurants,"1,350",3.8,176,"['North Indian', 'Afghan']"
Al Noor,Shivajinagar,350,3.8,23,"['North Indian', 'Chinese', 'Arabian', 'Rolls']"
Sundance The Bistro,Angsana Hotels & Resorts,"1,000",3.8,29,"['Continental', 'Italian']"
Sannidhi Grand,Kammanahalli,300,3.8,52,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
Zyara,HBR Layout,650,3.8,191,"['North Indian', 'Mughlai', 'Chinese']"
