rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
925,Savi Sagar,Jalahalli,400,4.1,799,4.078,"['South Indian', 'North Indian', 'Chinese']"
1030,Pashto,Residency Road,800,4.1,827,4.078,"['North Indian', 'Mughlai', 'Afghan']"
1038,Swadista Aahar,BTM,300,4.1,812,4.078,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
1063,By The Blue - Grand Mercure,Grand Mercure,"1,500",4.1,796,4.078,"['North Indian', 'Mughlai']"
489,Eddy's Cafe,Indiranagar,800,4.2,146,4.078,"['Cafe', 'American', 'Salad', 'Continental', 'Healthy Food', 'Italian']"
469,Patisserie Nitash,Frazer Town,500,4.2,146,4.078,['Bakery']
622,Cheers Pub Bar & Restro,Koramangala 4th Block,"1,100",4.2,146,4.078,"['Continental', 'Finger Food', 'Pizza', 'North Indian', 'Bar Food']"
1071,BiereKraft,Marathahalli,"1,600",4.1,767,4.077,"['Continental', 'North Indian', 'Asian']"
1054,Cafe Terra,Koramangala 1st Block,700,4.1,784,4.077,"['Cafe', 'Continental']"
1088,Bathinda Dine,Indiranagar,950,4.1,775,4.077,['North Indian']
983,Sathya's,Koramangala 3rd Block,"1,200",4.1,766,4.077,"['North Indian', 'Chinese']"
990,The Grill House,Ulsoor,"1,200",4.1,781,4.077,"['American', 'Mexican', 'Italian', 'Steak']"
608,Nazaara - Courtyard By Marriott,"Courtyard by Marriott Bengaluru, Hebbal","2,500",4.2,145,4.077,['North Indian']
1019,Grapevine,HSR,"1,200",4.1,753,4.076,"['Cafe', 'Continental', 'Italian', 'Beverages', 'Mediterranean']"
730,Caffe Pascucci,HSR,950,4.1,731,4.076,"['Cafe', 'Continental', 'Pizza', 'Italian', 'Beverages']"
1055,SlimSins Cafe,Jayanagar,850,4.1,736,4.076,"['Cafe', 'Healthy Food']"
771,Desserted,Vasanth Nagar,700,4.1,732,4.076,"['Cafe', 'Bakery', 'Desserts']"
975,CakeZone,Indiranagar,500,4.1,698,4.075,"['Bakery', 'Desserts']"
553,Feast India Co.,Cunningham Road,"1,500",4.2,142,4.075,"['Awadhi', 'Bengali', 'North Indian']"
613,Drava,Koramangala 5th Block,"1,500",4.2,142,4.075,"['Pizza', 'Continental', 'North Indian', 'Asian']"
1029,Puchkas,Marathahalli,200,4.1,695,4.075,"['Street Food', 'North Indian']"
963,3G's - Gulp & Groove,Malleshwaram,"1,100",4.1,672,4.074,"['Finger Food', 'Continental', 'Chinese']"
956,Indian Coffee House & Restaurant,Koramangala 5th Block,650,4.1,687,4.074,"['South Indian', 'North Indian', 'Chinese']"
1011,The Orchard,Sadashiv Nagar,900,4.1,684,4.074,['North Indian']
746,Northam's Pizza.Pita,HSR,450,4.1,676,4.074,"['Italian', 'Pizza']"
1039,Andhra Ruchulu,"The President Hotel, Jayanagar","1,000",4.1,682,4.074,"['Andhra', 'Biryani', 'North Indian', 'Chinese']"
719,Ember The Calabash,New BEL Road,800,4.1,676,4.074,"['Cafe', 'Italian', 'Continental', 'Beverages']"
830,Magnolia,Koramangala 3rd Block,900,4.1,689,4.074,"['Chinese', 'Thai', 'Asian']"
652,Yum In My Tum,BTM,300,4.2,140,4.074,"['Chinese', 'Fast Food']"
946,BANGALORE BOX,BTM,"1,500",4.1,657,4.073,"['Asian', 'Continental', 'Finger Food']"
1052,Grubbery,New BEL Road,700,4.1,645,4.073,"['Cafe', 'American', 'Asian', 'European', 'Steak', 'Salad', 'Desserts']"
1016,Eden Park,Cunningham Road,"1,100",4.1,645,4.073,"['Andhra', 'Biryani', 'Chinese', 'North Indian', 'Seafood', 'South Indian']"
286,Japan Travel Cafe Azuki,Residency Road,400,4.3,78,4.073,"['Cafe', 'Japanese']"
849,Spice It - Ibis Bengaluru,"Ibis Bengaluru, Marathahalli","1,500",4.1,618,4.072,"['North Indian', 'Chinese', 'Continental', 'Italian']"
976,Crumb Together,JP Nagar,"1,200",4.1,626,4.072,"['Continental', 'Finger Food', 'North Indian', 'Chinese']"
1058,Axomi - Taste of Assam,Koramangala 7th Block,500,4.1,619,4.072,['Assamese']
904,Ice - Taj MG Road Bengaluru,"Vivanta By Taj, MG Road","2,800",4.1,612,4.071,['Continental']
969,Bootlegger,Indiranagar,"1,800",4.1,607,4.071,"['Continental', 'Steak']"
1036,Zhang's  - Chinese Restaurant,JP Nagar,700,4.1,599,4.071,"['Chinese', 'Momos']"
784,Carrots,Koramangala 6th Block,"1,100",4.1,606,4.071,"['Italian', 'North Indian', 'Healthy Food', 'Desserts']"
934,Shuddh Desi Khana,Bannerghatta Road,400,4.1,609,4.071,['North Indian']
985,HQ,Whitefield,"1,000",4.1,611,4.071,"['North Indian', 'Italian', 'Finger Food', 'Continental']"
768,Cafe Pink Pajamas,Kalyan Nagar,700,4.1,607,4.071,"['Cafe', 'Italian']"
901,Grilliez,HSR,600,4.1,575,4.07,"['Cafe', 'Arabian', 'Continental', 'Turkish', 'Fast Food', 'Burger', 'Beverages']"
1069,Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,150,4.1,580,4.07,['South Indian']
773,30 Square,Koramangala 5th Block,400,4.1,563,4.069,"['Tibetan', 'Nepalese', 'Momos']"
1059,9th Mile Dhaba - Royal Orchid Resort,"Royal Orchid Resort, Yelahanka","1,200",4.1,557,4.069,['North Indian']
618,Pabrai's Fresh & Naturelle Icecreams,Brigade Road,200,4.2,133,4.069,"['Ice Cream', 'Desserts']"
895,Cafe Mozaic - Taj MG Road Bengaluru,"Vivanta By Taj, MG Road","2,500",4.1,571,4.069,"['North Indian', 'Italian', 'South Indian', 'Continental', 'Cafe', 'Salad']"
1073,Motis Kitchen,Thippasandra,350,4.1,566,4.069,"['South Indian', 'Kerala', 'Biryani']"
825,CakeWalk,Indiranagar,500,4.1,545,4.068,"['Desserts', 'Bakery']"
818,Vietnamese Kitchen,Indiranagar,800,4.1,540,4.068,"['Chinese', 'Vietnamese', 'Momos', 'Thai']"
1062,The Colony Gastropub,HSR,"1,200",4.1,543,4.068,"['Modern Indian', 'Continental']"
1032,La Pino'z Pizza,Koramangala 4th Block,500,4.1,531,4.067,"['Pizza', 'Italian', 'Beverages']"
714,Zingron,Koramangala 7th Block,750,4.1,524,4.067,"['Chinese', 'Naga']"
797,TAB - Take A Break,JP Nagar,550,4.1,532,4.067,"['Cafe', 'Continental', 'Italian']"
861,The Biryani Cafe,Banashankari,300,4.1,524,4.067,"['Biryani', 'Chinese', 'Kebab']"
1045,Cream Stone,Marathahalli,500,4.1,533,4.067,"['Desserts', 'Ice Cream', 'Beverages']"
527,Cafe Cosy,Jayanagar,800,4.2,131,4.067,"['Cafe', 'Chinese', 'Continental', 'Fast Food']"
393,The Biryani Story,BTM,600,4.3,75,4.067,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']"
1084,Cafe Grill,Jeevan Bhima Nagar,300,4.1,510,4.066,"['Chinese', 'North Indian', 'Rolls']"
1082,Delhi Mess,New BEL Road,300,4.1,507,4.066,"['North Indian', 'Chinese']"
462,Holige Mane,Malleshwaram,100,4.2,130,4.066,['South Indian']
896,Entropy Cafe,"Eat Street, Koramangala 6th Block",600,4.1,508,4.066,"['Cafe', 'Chinese', 'Pizza', 'North Indian', 'Burger']"
1042,Samrat Restaurant,"Hotel Chalukya, Race Course Road",600,4.1,506,4.066,"['South Indian', 'North Indian']"
778,Two Friends Cauldron,JP Nagar,700,4.1,499,4.065,"['Continental', 'Italian', 'American']"
774,Vandana Andhra and Multi Cuisine,Sarjapur Road,900,4.1,493,4.065,"['Andhra', 'Hyderabadi', 'Biryani', 'Chinese', 'North Indian']"
463,Not Just Waffles,Brookefield,400,4.2,129,4.065,"['Desserts', 'Ice Cream']"
1057,Andhra Biryanis,Nagawara,550,4.1,485,4.064,"['Andhra', 'North Indian', 'Chinese', 'Biryani']"
769,Coastal Mama,JP Nagar,700,4.1,478,4.064,"['Konkan', 'Mangalorean', 'North Indian', 'Seafood']"
809,Hotel Janardhan,Race Course Road,400,4.1,488,4.064,['South Indian']
1003,Hatch,Malleshwaram,"1,200",4.1,474,4.064,"['North Indian', 'Mangalorean', 'Seafood']"
968,The Terrace at Windmills Craftworks,Windmills Craftworks,"1,800",4.1,463,4.063,['North Indian']
1009,Fab Cafe,Rajarajeshwari Nagar,550,4.1,469,4.063,"['Cafe', 'Fast Food']"
923,Ruh's Cafe,BTM,500,4.1,470,4.063,"['Cafe', 'American', 'Italian', 'Continental', 'Chinese']"
583,Happy Belly Bakes,MG Road,500,4.2,126,4.063,"['Cafe', 'Bakery']"
819,Sharma's Malai & Masala,Koramangala 1st Block,650,4.1,461,4.063,['North Indian']
611,Aattutheeram Kerala Restaurant,Hennur,300,4.2,125,4.062,['Kerala']
1037,Salut,Jayanagar,"1,200",4.1,458,4.062,"['Continental', 'Finger Food', 'Seafood', 'Pizza']"
824,Chocolat Boulangerie Patisserie,Koramangala 4th Block,400,4.1,449,4.062,"['Bakery', 'Continental', 'Sandwich', 'Beverages', 'Desserts']"
936,Tummy Fuel,Jayanagar,400,4.1,450,4.062,"['Cafe', 'Beverages', 'Fast Food', 'Street Food']"
942,Suryawanshi,Indiranagar,700,4.1,460,4.062,"['Seafood', 'Maharashtrian']"
959,Royal Treat,Koramangala 5th Block,500,4.1,457,4.062,"['North Indian', 'Chinese', 'Biryani']"
822,South Thindies,Basavanagudi,150,4.1,444,4.061,['South Indian']
694,The Waffle Press,St. Marks Road,400,4.2,124,4.061,"['Desserts', 'Ice Cream']"
1013,Chung's Chinese Corner,Malleshwaram,600,4.1,447,4.061,"['Chinese', 'Asian', 'American', 'Seafood']"
342,The Marash,Koramangala 5th Block,250,4.3,72,4.061,"['Turkish', 'Desserts']"
888,Sea Route,Rajajinagar,"1,100",4.1,431,4.06,"['Seafood', 'North Indian', 'Chinese']"
722,Caf-Eleven,Banashankari,450,4.1,435,4.06,"['Cafe', 'Continental']"
928,Sanadige - Goldfinch Hotel,"Goldfinch Hotel, Seshadripuram","1,200",4.1,434,4.06,"['Kerala', 'Mangalorean', 'Maharashtrian', 'Goan', 'Seafood']"
570,South House,Brookefield,800,4.2,122,4.059,"['South Indian', 'Biryani']"
915,The Chocolate Heaven,Kalyan Nagar,700,4.1,414,4.059,"['Desserts', 'Cafe', 'Italian', 'Beverages']"
874,BluO,"Orion Mall, Malleshwaram","1,500",4.1,408,4.058,"['Continental', 'North Indian']"
917,Bistro Oui,Koramangala 5th Block,"1,200",4.1,411,4.058,"['Continental', 'Steak', 'Salad', 'Cafe']"
892,Café Down The Alley,Banashankari,500,4.1,409,4.058,['Cafe']
755,Ta'aam,Cunningham Road,750,4.1,404,4.058,"['North Indian', 'Mughlai', 'Arabian', 'Chinese']"
998,Mojo Pizza - 2X Toppings,Bannerghatta Road,600,4.1,393,4.057,['Pizza']
939,Indy's Comfort Food,Shivajinagar,300,4.1,399,4.057,"['North Indian', 'Beverages', 'Fast Food']"
906,Chez Mariannick,Whitefield,"1,000",4.1,395,4.057,"['French', 'Pizza', 'Bakery']"
724,The Shawarma Shop,BTM,250,4.1,385,4.056,['Arabian']
880,Cafe Happytizing,Electronic City,700,4.1,386,4.056,"['Cafe', 'Sandwich', 'Pizza', 'North Indian', 'Mexican']"
992,Buddha Treats,Brookefield,600,4.1,382,4.056,"['Chinese', 'Thai']"
973,SLV Restaurant,JP Nagar,300,4.1,381,4.055,"['South Indian', 'North Indian', 'Chinese']"
754,SLV Corner Restaurant,Basavanagudi,600,4.1,378,4.055,"['South Indian', 'North Indian', 'Chinese', 'Beverages']"
789,Samosa Party,Jeevan Bhima Nagar,150,4.1,376,4.055,"['Street Food', 'Fast Food']"
921,Doof,Electronic City,450,4.1,375,4.055,"['Fast Food', 'Beverages']"
661,Saara's Cafe - SS Lumina Hotel,Koramangala 7th Block,800,4.2,117,4.055,"['North Indian', 'South Indian', 'Chinese', 'Arabian']"
873,Sulemani Chichas,Koramangala 5th Block,400,4.1,371,4.054,"['Biryani', 'Hyderabadi', 'Kebab']"
710,Foodism,Marathahalli,300,4.1,364,4.054,"['North Indian', 'Chinese']"
353,Fabcafe,MG Road,800,4.3,69,4.054,"['Cafe', 'Healthy Food']"
664,Cafe Cassia& Deli,Ulsoor,"1,000",4.2,116,4.054,"['Lebanese', 'Mediterranean', 'Cafe']"
900,12th Main - Grand Mercure,Grand Mercure,"2,000",4.1,358,4.053,"['European', 'Asian']"
1061,Royal Andaaz,Mysore Road,900,4.1,349,4.052,"['South Indian', 'North Indian', 'Chinese', 'Desserts']"
951,Chatpatlal Sweets & Snacks,Marathahalli,200,4.1,354,4.052,"['Street Food', 'Mithai', 'North Indian', 'Beverages', 'Desserts']"
938,Hello Resto-Pub,Old Airport Road,900,4.1,352,4.052,['Continental']
919,Taste Of Tibet,Brigade Road,300,4.1,344,4.051,"['Tibetan', 'Chinese', 'Momos']"
793,Mystique Palate,Jayanagar,300,4.1,344,4.051,"['Chinese', 'Fast Food']"
845,Mynt - The Taj West End,"The Taj West End, Race Course Road","2,500",4.1,346,4.051,"['Italian', 'North Indian', 'Lebanese']"
466,The Bakers Table,Yelahanka,200,4.2,113,4.051,['Bakery']
862,Fort Kochi,MG Road,"1,800",4.1,343,4.051,"['Kerala', 'Seafood']"
242,Wild Thyme Restaurant,Koramangala 5th Block,800,4.4,48,4.05,"['Chinese', 'Continental', 'North Indian', 'Italian', 'Seafood']"
952,Tapout Tavern,Sarjapur Road,"1,200",4.1,336,4.05,"['American', 'Asian', 'Continental', 'North Indian', 'South Indian', 'Chinese']"
891,Grubhouse,Indiranagar,800,4.1,339,4.05,"['Cafe', 'Continental']"
744,Gam's Delicacy,Koramangala 7th Block,800,4.1,329,4.049,"['North Indian', 'Chinese', 'Assamese']"
837,Skylit - Citrus Hotels,"Citrus Hotels, Cunningham Road","1,300",4.1,331,4.049,"['North Indian', 'Mughlai', 'Mediterranean']"
800,Chicken World,Jalahalli,500,4.1,330,4.049,"['North Indian', 'Chinese', 'Arabian', 'Rolls']"
821,Iyer Mess,Malleshwaram,150,4.1,329,4.049,['South Indian']
954,Fusion Theory,Jayanagar,700,4.1,329,4.049,"['Continental', 'Biryani', 'Desserts', 'Italian', 'North Indian', 'Chinese', 'Modern Indian', 'Asian']"
792,Vegan Heat,Koramangala 1st Block,650,4.1,318,4.048,"['Healthy Food', 'Salad']"
913,Mysuru Coffee Thindi,Jayanagar,200,4.1,324,4.048,"['South Indian', 'Coffee']"
787,Mitran Da Junction,"Eat Street, Koramangala 6th Block",600,4.1,323,4.048,['North Indian']
986,Dialogues,Koramangala 4th Block,600,4.1,320,4.048,"['Cafe', 'Continental']"
910,@Italy,Kumaraswamy Layout,700,4.1,314,4.047,['Italian']
1064,Tiger Trail - Royal Orchid Hotel,"Royal Orchid Hotel,  Old Airport Road","2,000",4.1,317,4.047,['North Indian']
1049,Fish Chain,HSR,300,4.1,312,4.047,"['Seafood', 'BBQ', 'Biryani']"
333,Namma Kudla,Malleshwaram,350,4.3,66,4.047,"['South Indian', 'Mangalorean']"
810,Birbal Darbar,Sarjapur Road,600,4.1,317,4.047,"['North Indian', 'Chinese', 'Biryani']"
1005,Brooks 37,Brookefield,"1,000",4.1,306,4.046,"['North Indian', 'Continental', 'Asian', 'Pizza']"
794,La Brasserie - Le Meridien,"Le Meridien, Sankey Road","4,100",4.1,309,4.046,"['North Indian', 'Continental', 'Japanese', 'Chinese', 'South Indian']"
940,Poppins The Food Station,Nagarbhavi,750,4.1,305,4.046,"['Cafe', 'Burger', 'Beverages']"
860,The Vacationer's Cafe,Koramangala 7th Block,600,4.1,310,4.046,"['Cafe', 'Continental', 'Mexican']"
903,Nossa Goa,Richmond Road,"1,000",4.1,302,4.045,"['Goan', 'Seafood', 'Konkan', 'Desserts']"
801,The Mad Teapot,Indiranagar,850,4.1,299,4.045,['Cafe']
840,Straight Up,Hennur,"1,000",4.1,301,4.045,"['Kerala', 'Continental', 'North Indian']"
842,Seafood Place,Indiranagar,800,4.1,302,4.045,"['Chinese', 'North Indian', 'Kerala', 'Mangalorean', 'Seafood']"
1041,Peppy Peppers,Banashankari,800,4.1,299,4.045,"['Italian', 'North Indian', 'Mexican']"
1080,The Charcoal Factory,Koramangala 6th Block,600,4.1,294,4.044,"['Burger', 'Pizza', 'Momos']"
716,Vaathsalya Millet Cafe,JP Nagar,500,4.1,295,4.044,"['Healthy Food', 'South Indian']"
865,Soo Ra Sang,Indiranagar,"1,500",4.1,297,4.044,['Korean']
886,Stonelicious,Marathahalli,300,4.1,291,4.043,"['Desserts', 'Ice Cream']"
700,Thyme & Whisk,Jayanagar,800,4.2,105,4.043,"['Asian', 'Chinese', 'Continental', 'Italian']"
882,Pakwan,Sadashiv Nagar,800,4.1,292,4.043,"['North Indian', 'Chinese', 'Italian']"
807,Clean Slate Cafe,Malleshwaram,600,4.1,277,4.041,"['Cafe', 'Continental', 'Italian']"
1081,Tarbouche,Koramangala 5th Block,300,4.1,278,4.041,"['Turkish', 'Rolls']"
731,Gorilla Barfare,Koramangala 6th Block,"1,400",4.1,280,4.041,"['Continental', 'Pizza', 'Burger']"
972,Udupi Grand,Yelahanka,300,4.1,275,4.04,"['North Indian', 'South Indian', 'Chinese']"
877,White Plate,MG Road,"1,200",4.1,272,4.04,"['North Indian', 'Mughlai', 'Chinese']"
828,Monsoon - The Park Bangalore,"The Park, MG Road","3,000",4.1,274,4.04,"['Italian', 'North Indian']"
781,24@43 - The Oterra,"The Oterra, Hosur Road","3,000",4.1,271,4.04,"['North Indian', 'Asian', 'Continental']"
993,Siddappa Hotel,Richmond Road,150,4.1,276,4.04,['South Indian']
799,Rajathadri Palace,Uttarahalli,700,4.1,268,4.039,"['North Indian', 'Chinese']"
955,The Meal Story,Sarjapur Road,700,4.1,266,4.039,"['North Indian', 'Street Food']"
557,The Daily Bean,Hennur,500,4.2,101,4.038,['Cafe']
498,Pavilion Restaurant,"Comfort Inn Insys, Yeshwantpur","1,000",4.2,101,4.038,"['North Indian', 'Chinese', 'Continental']"
300,IDC Kitchen,Koramangala 5th Block,200,4.3,62,4.037,['South Indian']
762,Doodle,Vasanth Nagar,500,4.1,260,4.037,"['Cafe', 'Continental', 'Fast Food', 'Pizza', 'Italian', 'Burger', 'Chinese', 'Desserts']"
633,Falcon Greens - Prestige Golfshire,International Airport,"1,400",4.2,100,4.037,"['North Indian', 'Asian', 'European', 'Continental']"
456,Blue Tokai Coffee Roasters,Koramangala 8th Block,750,4.2,99,4.036,['Cafe']
653,Stevie's,Malleshwaram,500,4.2,99,4.036,['Cafe']
868,Shanghai Bistro,Sarjapur Road,800,4.1,255,4.036,"['Chinese', 'Thai', 'Vietnamese']"
920,New Agarwal Bhavan,Yeshwantpur,400,4.1,256,4.036,"['North Indian', 'Chinese', 'Street Food', 'Mithai']"
1070,46 Ounces Brewgarden,Electronic City,"1,600",4.1,248,4.035,"['Bar Food', 'Finger Food', 'Pizza']"
909,Happy Chopsticks,Rajarajeshwari Nagar,300,4.1,251,4.035,"['Chinese', 'Fast Food']"
855,Nammoora Thindi,Nagarbhavi,250,4.1,246,4.034,['South Indian']
879,Chichaba's Taj,Basaveshwara Nagar,600,4.1,246,4.034,"['Biryani', 'North Indian', 'Mughlai']"
1076,Arirang Korean Restaurant,Kammanahalli,"1,400",4.1,243,4.034,['Korean']
835,1722 Urban Bistro,Koramangala 5th Block,900,4.1,242,4.033,"['North Indian', 'Chinese', 'Fast Food', 'Biryani']"
859,Udupi Sri Krishna Bhavan,Basavanagudi,600,4.1,242,4.033,['South Indian']
752,Dev Sagar - Food Street,Basavanagudi,200,4.1,242,4.033,['Street Food']
682,Al-Badia Restaurant,Kammanahalli,700,4.2,96,4.032,['Arabian']
511,Halli Mane Donne Biriyani,Rajajinagar,400,4.2,96,4.032,"['Biryani', 'Seafood']"
1033,The Caramelts Cafe,Jayanagar,800,4.1,238,4.032,"['Cafe', 'Salad', 'Wraps', 'Beverages']"
826,The Mangalorean,Kammanahalli,550,4.1,232,4.031,"['Konkan', 'Mangalorean', 'Seafood']"
935,Gravity Bar & Grill,Nagawara,"1,200",4.1,228,4.03,"['Continental', 'North Indian', 'Chinese', 'Finger Food']"
812,Wokanaka - The Casual Chinese Pitstop,Kalyan Nagar,500,4.1,226,4.029,"['Asian', 'Chinese', 'Thai', 'Seafood', 'Momos']"
1020,Hyderabad Biryani House,Malleshwaram,800,4.1,224,4.029,"['Biryani', 'Hyderabadi', 'Chinese']"
884,Chaat Street,"Varthur Main Road, Whitefield",250,4.1,225,4.029,"['Street Food', 'North Indian']"
623,Hotel Ramprasad,Brigade Road,300,4.2,93,4.028,"['South Indian', 'Chinese']"
893,Cafe Aira,Basavanagudi,500,4.1,223,4.028,"['Cafe', 'Continental', 'Beverages', 'Desserts']"
802,Sai Shakti,Malleshwaram,250,4.1,217,4.027,['North Indian']
872,Thom's Bakery,Frazer Town,200,4.1,216,4.026,"['Bakery', 'Fast Food']"
929,Shanthi Sagar,Ulsoor,250,4.1,213,4.026,"['South Indian', 'North Indian', 'Chinese', 'Juices']"
756,Pop Hop,Jayanagar,300,4.1,210,4.025,"['Ice Cream', 'Desserts']"
899,OKO - The Lalit Ashok Bangalore,"The Lalit Ashok Bangalore, Seshadripuram","2,200",4.1,210,4.025,"['Japanese', 'Asian']"
875,Bake Ur Wish,Nagarbhavi,500,4.1,212,4.025,"['Cafe', 'Bakery']"
827,Bengaluru Coffee House,Banashankari,300,4.1,211,4.025,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
843,North Indian Bhukkads,Nagawara,450,4.1,210,4.025,"['North Indian', 'Biryani', 'Chinese', 'Street Food']"
847,Manasa Fishland,Kalyan Nagar,650,4.1,208,4.024,"['Seafood', 'South Indian', 'North Indian']"
944,Hotel Navayuga,Majestic,500,4.1,206,4.023,"['South Indian', 'Biryani']"
1018,1441 Pizzeria,JP Nagar,800,4.1,206,4.023,"['Pizza', 'Italian', 'Beverages']"
785,Tapri By The Corner,Koramangala 5th Block,250,4.1,206,4.023,['Fast Food']
814,Hi Seoul,Kalyan Nagar,800,4.1,202,4.022,['Korean']
795,Vera Italiano,Kalyan Nagar,600,4.1,203,4.022,['Italian']
898,Coastal Delight,Indiranagar,650,4.1,202,4.022,"['Seafood', 'South Indian', 'North Indian', 'Mangalorean', 'Chinese']"
867,Ching's With A Twist,Hebbal,500,4.1,202,4.022,"['Chinese', 'North Indian']"
1026,Brahmins' Thatte Idli,Kalyan Nagar,100,4.1,200,4.021,['South Indian']
864,Kitchen Katta,Sanjay Nagar,300,4.1,198,4.021,['Maharashtrian']
757,Masala Chai,Whitefield,250,4.1,196,4.02,"['Beverages', 'Fast Food', 'Tea']"
517,True Bleu Resto Cafe,HSR,"1,000",4.2,87,4.02,"['Continental', 'Asian', 'Pizza', 'Salad']"
358,Biryani Rooh-e-Khaas,HSR,500,4.3,56,4.02,"['Biryani', 'Mughlai']"
1000,PagalKhana,Koramangala 4th Block,"1,000",4.1,195,4.02,"['Continental', 'Chinese', 'Fast Food', 'Beverages']"
1028,Ice Cream Works,Jayanagar,300,4.1,196,4.02,"['Desserts', 'Ice Cream']"
844,Hatch,Yeshwantpur,"1,100",4.1,196,4.02,"['Finger Food', 'Continental', 'Burger']"
753,Zangos Grill,Koramangala 1st Block,300,4.1,192,4.019,"['BBQ', 'Fast Food']"
996,Ulavacharu,Koramangala 5th Block,900,4.1,193,4.019,"['Andhra', 'North Indian', 'Chinese']"
1027,De Parathzzaa Cafe,Mysore Road,400,4.1,186,4.017,"['Cafe', 'North Indian']"
949,Dublin - ITC Windsor,ITC Windsor,"2,500",4.1,187,4.017,['European']
999,Rajanna Military Hotel,Jayanagar,400,4.1,186,4.017,"['Biryani', 'Fast Food']"
341,Kapoor's Punjabi Rolls,Kalyan Nagar,300,4.3,55,4.017,"['Rolls', 'Fast Food']"
926,Shiv Shakthi,HSR,100,4.1,184,4.016,"['Street Food', 'North Indian']"
604,Mikusu - Conrad Bengaluru,"Conrad Bengaluru, Ulsoor","3,000",4.2,84,4.016,"['Japanese', 'Chinese', 'Thai']"
857,The Lassi Park,Jayanagar,200,4.1,185,4.016,"['Juices', 'Desserts']"
723,Mahalaxmi Tiffin Room,Basavanagudi,100,4.1,181,4.015,['South Indian']
813,Shree Thali,Koramangala 5th Block,150,4.1,183,4.015,['North Indian']
876,Belly Deli,Frazer Town,400,4.1,178,4.014,"['Fast Food', 'Biryani']"
1056,Frozen Bottle,Indiranagar,400,4.1,180,4.014,"['Beverages', 'Desserts', 'Ice Cream']"
927,Sri Sairam's Chats and Juice,Malleshwaram,100,4.1,177,4.013,['Street Food']
718,Vitamin Palace,Koramangala 7th Block,650,4.1,175,4.012,"['Cafe', 'Beverages', 'Healthy Food', 'Juices']"
1075,The Daily,Electronic City,400,4.1,173,4.011,"['Rajasthani', 'North Indian']"
717,Chaska Bun,Koramangala 5th Block,300,4.1,173,4.011,['Fast Food']
729,Yak's Kitchen,Brigade Road,400,4.1,172,4.011,"['Chinese', 'Tibetan', 'Momos']"
841,Shree Khana Khazana,Bellandur,450,4.1,173,4.011,"['North Indian', 'Chinese', 'Rajasthani']"
790,Bread Crumbs Bakery,Bannerghatta Road,250,4.1,172,4.011,"['Desserts', 'Bakery']"
713,Cinders Rooftop Barbeque,"Comfort Inn Insys, Yeshwantpur","1,500",4.1,171,4.011,"['North Indian', 'BBQ', 'Finger Food', 'Continental', 'Chinese', 'Italian']"
732,Sindh Kitchen,Malleshwaram,"1,100",4.1,171,4.011,"['North Indian', 'Sindhi', 'Seafood']"
733,Szechwan Court - The Oberoi,"The Oberoi, MG Road","2,500",4.1,171,4.011,['Chinese']
823,"R Bar - Renaissance Hotel, Bengaluru","Renaissance Hotel, Race Course Road","1,400",4.1,171,4.011,['Continental']
735,Just Fresh Point,Electronic City,300,4.1,172,4.011,"['Street Food', 'American', 'Sandwich', 'Fast Food', 'Beverages', 'Burger', 'Desserts', 'Pizza']"
745,Cremona Pizzeria,Yelahanka,600,4.1,169,4.01,"['Pizza', 'Fast Food', 'Desserts']"
815,Azure - Taj Yeshwantpur,Taj Yeshwantpur,"2,500",4.1,169,4.01,"['Lebanese', 'Mediterranean', 'Italian']"
894,Twiststick House,Basavanagudi,500,4.1,169,4.01,"['Continental', 'Fast Food', 'Street Food', 'Momos']"
1050,Uno Chicago Bar & Grill,Whitefield,"1,800",4.1,168,4.009,"['American', 'Italian']"
916,Ruposhi Bangla,Electronic City,400,4.1,164,4.008,"['Bengali', 'Chinese', 'North Indian', 'Seafood']"
866,Sanjha Chulha,Marathahalli,800,4.1,163,4.007,"['North Indian', 'Pizza', 'Fast Food']"
931,Sri Lakshmi Vaibhav,Whitefield,500,4.1,163,4.007,"['South Indian', 'North Indian', 'Chinese']"
922,Northern Route,St. Marks Road,300,4.1,162,4.007,"['North Indian', 'Street Food']"
760,The Chameleon,Electronic City,"1,200",4.1,162,4.007,['Finger Food']
751,Step Right Up,Vasanth Nagar,300,4.1,163,4.007,"['Cafe', 'Italian']"
1010,Amma's Pastries,HSR,400,4.1,161,4.006,"['Bakery', 'Desserts']"
559,Poha On Wheels,Bellandur,100,4.2,78,4.006,['Street Food']
510,Energy Addaa,Basavanagudi,500,4.2,78,4.006,"['Salad', 'Healthy Food', 'Sandwich', 'Juices', 'Burger', 'Desserts', 'Pizza']"
890,KHOPCHA,Sahakara Nagar,200,4.1,161,4.006,"['Fast Food', 'Rolls', 'Kebab']"
863,Oregano Soul Food,Whitefield,700,4.1,157,4.004,['Cafe']
960,Chill-Um Cafe,Koramangala 6th Block,600,4.1,154,4.003,"['Cafe', 'Chinese', 'Continental']"
932,Anju's Cafe,JP Nagar,400,4.1,151,4.001,"['Fast Food', 'North Indian', 'Continental']"
